,word,freq
1,the,10081
2,of,7103
3,and,5304
4,to,4535
5,in,2784
6,a,2245
7,our,2182
8,that,1793
9,we,1744
10,be,1483
11,is,1461
12,it,1389
13,for,1197
14,by,1083
15,have,1011
16,which,1006
17,with,958
18,not,957
19,as,947
20,will,914
21,i,839
22,this,836
23,all,820
24,are,813
25,their,753
26,but,654
27,has,622
28,government,600
29,people,584
30,its,572
31,from,572
32,or,559
33,on,533
34,my,495
35,been,488
36,us,478
37,can,473
38,no,465
39,they,455
40,so,393
41,an,390
42,upon,371
43,who,370
44,must,366
45,at,347
46,great,340
47,world,338
48,may,338
49,states,333
50,those,328
51,them,327
52,should,324
53,country,318
54,nation,316
55,shall,314
56,more,314
57,every,299
58,these,291
59,if,287
60,any,278
61,was,270
62,other,264
63,one,257
64,peace,255
65,there,255
66,new,252
67,own,248
68,citizens,247
69,only,244
70,than,240
71,power,236
72,do,233
73,public,226
74,now,224
75,s,220
76,america,220
77,such,218
78,time,217
79,when,213
80,would,211
81,his,209
82,constitution,206
83,united,202
84,you,199
85,nations,199
86,under,198
87,freedom,189
88,union,189
89,me,186
90,free,184
91,war,178
92,most,176
93,what,175
94,american,163
95,national,157
96,made,156
97,let,153
98,fellow,152
99,men,149
100,good,146
101,make,145
102,were,141
103,well,141
104,years,141
105,spirit,140
106,without,139
107,life,139
108,rights,138
109,justice,137
110,law,136
111,never,134
112,had,131
113,laws,130
114,congress,130
115,before,130
116,into,128
117,each,125
118,just,123
119,your,123
120,liberty,121
121,best,120
122,right,119
123,work,118
124,duty,118
125,because,117
126,hope,117
127,interests,115
128,against,114
129,through,111
130,he,111
131,state,109
132,some,109
133,god,108
134,among,108
135,many,107
136,political,106
137,both,106
138,foreign,104
139,know,103
140,today,102
141,man,102
142,long,102
143,powers,101
144,much,101
145,first,99
146,history,98
147,policy,97
148,executive,97
149,part,96
150,between,96
151,principles,96
152,out,96
153,progress,94
154,future,94
155,human,94
156,within,93
157,same,92
158,duties,92
159,day,92
160,administration,91
161,support,90
162,common,90
163,whole,90
164,system,90
165,president,89
166,too,89
167,faith,88
168,ever,88
169,over,88
170,confidence,88
171,far,87
172,nor,87
173,purpose,86
174,present,86
175,while,85
176,service,85
177,less,85
178,together,83
179,way,82
180,party,82
181,necessary,82
182,yet,81
183,still,81
184,then,81
185,here,80
186,ourselves,80
187,always,79
188,force,79
189,old,78
190,high,78
191,institutions,77
192,come,76
193,strength,76
194,others,76
195,interest,76
196,better,76
197,equal,76
198,need,75
199,believe,75
200,general,75
201,americans,74
202,office,74
203,itself,73
204,being,73
205,land,72
206,home,71
207,federal,71
208,even,71
209,again,71
210,means,71
211,themselves,71
212,could,71
213,things,70
214,prosperity,70
215,place,70
216,action,69
217,change,69
218,find,68
219,where,68
220,give,68
221,might,68
222,republic,67
223,secure,67
224,up,66
225,given,66
226,whose,66
227,order,66
228,self,65
229,full,65
230,security,65
231,take,65
232,am,65
233,responsibility,64
234,commerce,64
235,proper,64
236,business,63
237,true,63
238,found,63
239,important,63
240,earth,62
241,like,62
242,subject,62
243,called,62
244,seek,61
245,revenue,61
246,see,61
247,century,60
248,democracy,60
249,since,60
250,character,60
251,ought,60
252,trust,60
253,toward,59
254,principle,59
255,honor,59
256,question,59
257,respect,59
258,another,59
259,done,58
260,stand,58
261,very,58
262,cause,58
263,protection,57
264,beyond,57
265,become,57
266,course,57
267,influence,57
268,help,56
269,cannot,56
270,citizen,56
271,civil,56
272,countrymen,55
273,also,55
274,strong,55
275,live,55
276,authority,55
277,however,55
278,oath,55
279,act,55
280,children,54
281,past,54
282,greater,54
283,use,53
284,economy,53
285,constitutional,53
286,meet,53
287,individual,52
288,sense,52
289,experience,52
290,happiness,52
291,love,52
292,trade,51
293,continue,51
294,resources,51
295,times,51
296,governments,51
297,nothing,50
298,whether,50
299,does,49
300,control,49
301,labor,49
302,opinion,49
303,defense,49
304,domestic,49
305,purposes,49
306,hand,49
307,economic,48
308,promise,48
309,opportunity,48
