,word,freq
1,the,9906
2,of,6986
3,and,5139
4,to,4432
5,in,2749
6,a,2193
7,our,2058
8,that,1726
9,we,1625
10,be,1460
11,is,1416
12,it,1367
13,for,1154
14,by,1066
15,which,1002
16,have,997
17,with,937
18,as,931
19,not,924
20,will,851
21,i,832
22,this,812
23,all,794
24,are,779
25,their,738
26,but,628
27,has,612
28,government,593
29,its,565
30,people,563
31,from,551
32,or,542
33,on,520
34,my,491
35,been,482
36,can,465
37,us,455
38,no,453
39,they,440
40,so,383
41,an,380
42,upon,369
43,who,361
44,must,346
45,at,341
46,may,334
47,great,331
48,world,329
49,states,329
50,them,327
51,should,323
52,those,317
53,shall,314
54,more,307
55,nation,302
56,country,302
57,if,286
58,every,285
59,these,278
60,any,276
61,was,268
62,other,256
63,peace,252
64,there,251
65,own,245
66,one,243
67,new,240
68,only,238
69,citizens,237
70,than,234
71,power,230
72,public,225
73,do,222
74,such,218
75,now,213
76,would,209
77,his,208
78,time,206
79,constitution,205
80,when,203
81,s,202
82,united,197
83,under,197
84,nations,194
85,america,192
86,union,188
87,me,186
88,freedom,183
89,free,179
90,you,178
91,war,175
92,most,172
93,what,166
94,national,154
95,made,151
96,let,149
97,fellow,148
98,american,147
99,men,144
100,good,143
101,were,139
102,spirit,138
103,without,138
104,well,137
105,rights,136
106,law,134
107,justice,134
108,years,134
109,make,133
110,life,133
111,laws,130
112,had,130
113,congress,129
114,before,127
115,never,125
116,into,123
117,best,120
118,each,119
119,just,117
120,liberty,116
121,duty,116
122,hope,115
123,work,113
124,right,113
125,interests,113
126,against,112
127,your,112
128,because,110
129,he,110
130,state,109
131,some,108
132,among,107
133,political,106
134,both,106
135,through,104
136,man,102
137,foreign,101
138,powers,101
139,many,101
140,know,100
141,much,99
142,god,98
143,policy,97
144,executive,97
145,long,96
146,history,96
147,part,95
148,between,95
149,first,95
150,progress,93
151,within,93
152,principles,93
153,out,93
154,human,93
155,duties,92
156,today,91
157,whole,90
158,administration,90
159,support,89
160,future,89
161,system,89
162,day,88
163,common,87
164,faith,87
165,confidence,87
166,ever,86
167,far,86
168,nor,86
169,over,86
170,present,86
171,less,85
172,too,85
173,purpose,84
174,service,84
175,same,83
176,president,82
177,necessary,82
178,yet,81
179,force,79
180,then,79
181,party,79
182,ourselves,78
183,high,78
184,way,78
185,old,76
186,while,76
187,interest,76
188,institutions,76
189,come,75
190,always,75
191,others,75
192,better,75
193,general,75
194,still,75
195,here,74
196,need,73
197,office,73
198,strength,72
199,together,72
200,itself,72
201,being,72
202,federal,71
203,equal,71
204,believe,70
205,place,70
206,means,70
207,themselves,70
208,home,69
209,even,69
210,land,69
211,could,69
212,things,68
213,where,68
214,prosperity,68
215,might,68
216,secure,67
217,give,67
218,americans,66
219,republic,66
220,action,66
221,change,66
222,find,66
223,given,66
224,whose,66
225,order,66
226,full,65
227,am,65
228,proper,64
229,business,63
230,responsibility,63
231,commerce,63
232,up,63
233,found,63
234,take,63
235,important,63
236,self,62
237,security,62
238,again,62
239,subject,62
240,called,62
241,true,61
242,revenue,61
243,century,60
244,see,60
245,since,60
246,ought,60
247,trust,60
248,seek,59
249,toward,59
250,honor,59
251,question,59
252,respect,59
253,character,59
254,democracy,58
255,earth,58
256,principle,58
257,like,58
258,cause,58
259,beyond,57
260,influence,57
261,help,56
262,done,56
263,protection,56
264,stand,56
265,become,56
266,another,56
267,civil,56
268,countrymen,55
269,very,55
270,course,55
271,citizen,54
272,authority,54
273,however,54
274,also,53
275,use,53
276,strong,53
277,live,53
278,constitutional,53
279,greater,53
280,sense,52
281,experience,52
282,economy,52
283,meet,52
284,past,52
285,resources,51
286,governments,51
287,trade,50
288,nothing,50
289,continue,50
290,individual,50
291,times,50
292,act,50
293,love,50
294,cannot,49
295,control,49
296,children,49
297,opinion,49
298,domestic,49
299,oath,49
300,purposes,49
301,hand,49
302,condition,48
303,defense,48
304,happiness,48
305,opportunity,47
306,whether,47
307,labor,47
308,him,47
309,relations,47
310,go,47
311,economic,46
312,end,46
313,preserve,46
314,maintain,46
315,lives,46
316,having,46
317,therefore,46
318,regard,46
319,promise,45
320,does,45
321,alone,45
322,wisdom,45
323,two,45
324,moral,45
325,effort,45
326,did,45
327,hands,45
328,success,45
329,importance,44
330,last,44
331,ask,44
332,independence,44
333,her,44
334,look,43
335,desire,43
336,parties,43
337,form,43
338,either,43
339,legislation,42
340,mankind,42
341,local,42
342,circumstances,42
343,measures,42
344,mind,42
345,fear,41
346,welfare,41
347,race,41
348,exercise,41
349,how,41
350,affairs,41
351,ago,40
352,taken,40
353,aid,40
354,increase,40
355,say,40
356,after,40
357,danger,40
358,once,40
359,care,40
360,blessings,40
361,task,40
362,peoples,39
363,period,39
364,greatest,39
365,safety,39
366,whom,39
367,fair,39
368,body,39
369,knowledge,39
370,about,39
371,favor,39
372,thought,39
373,possible,39
374,essential,39
375,civilization,38
376,making,38
377,territory,38
378,bring,38
379,heart,38
380,passed,38
381,until,38
382,highest,38
383,throughout,38
384,call,38
385,millions,37
386,questions,37
387,hold,37
388,limits,37
389,reason,37
390,protect,37
391,efforts,37
392,effect,37
393,example,37
394,society,37
395,occasion,37
396,hopes,37
397,generation,36
398,object,36
399,judgment,36
400,large,36
401,share,36
402,faithful,36
403,nature,36
404,international,35
405,four,35
406,money,35
407,moment,35
408,already,35
409,view,35
410,courage,35
411,necessity,35
412,certain,35
413,friends,35
414,further,35
415,revolution,35
416,sufficient,35
417,problems,34
418,conditions,34
419,pledge,34
420,countries,34
421,population,34
422,existence,34
423,rule,34
424,abroad,34
425,promote,34
426,chief,34
427,thus,34
428,require,34
429,permanent,34
430,attention,34
431,little,34
432,members,33
433,forward,33
434,community,33
435,social,33
436,wealth,33
437,result,33
438,produce,33
439,solemn,33
440,patriotism,33
441,myself,33
442,instrument,33
443,industrial,32
444,words,32
445,south,32
446,face,32
447,education,32
448,expect,32
449,military,32
450,speak,32
451,obligations,32
452,wise,32
453,degree,32
454,destiny,32
455,none,32
456,independent,32
457,tariff,31
458,clear,31
459,dangers,31
460,fail,31
461,discharge,31
462,powerful,31
463,conduct,31
464,industry,31
465,wish,31
466,year,31
467,equally,31
468,objects,31
469,mr,30
470,small,30
471,few,30
472,extended,30
473,arms,30
474,fathers,30
475,sound,30
476,extent,30
477,property,30
478,fact,30
479,different,30
480,portion,30
481,happy,30
482,single,30
483,placed,30
484,due,30
485,established,30
486,citizenship,29
487,ability,29
488,rather,29
489,carry,29
490,generations,29
491,advance,29
492,want,29
493,religious,29
494,humanity,29
495,position,29
496,election,29
497,whatever,29
498,seen,29
499,often,29
500,feel,29
501,consideration,29
502,ideals,28
503,women,28
504,unity,28
505,responsibilities,28
506,neither,28
507,beginning,28
508,set,28
509,away,28
510,growth,28
511,several,28
512,lead,28
513,think,28
514,reach,28
515,opinions,28
516,presence,28
517,during,28
518,personal,28
519,remain,28
