,word,freq
1,the,10080
2,of,7103
3,and,5302
4,to,4535
5,in,2784
6,a,2245
7,our,2182
8,that,1791
9,we,1742
10,be,1482
11,is,1463
12,it,1390
13,for,1197
14,by,1083
15,have,1012
16,which,1006
17,not,964
18,with,958
19,as,947
20,will,912
21,i,839
22,this,835
23,all,818
24,are,814
25,their,753
26,but,654
27,has,622
28,government,600
29,people,583
30,its,572
31,from,572
32,or,559
33,on,534
34,my,495
35,been,488
36,can,480
37,us,477
38,no,465
39,they,455
40,so,391
41,an,390
42,upon,372
43,who,370
44,must,365
45,at,347
46,great,340
47,world,338
48,may,338
49,states,333
50,those,328
51,them,327
52,should,324
53,country,318
54,nation,317
55,shall,314
56,more,314
57,every,299
58,these,290
59,if,287
60,any,278
61,was,270
62,other,264
63,one,257
64,peace,255
65,there,255
66,new,252
67,own,248
68,citizens,247
69,only,243
70,than,240
71,power,236
72,do,233
73,public,226
74,now,224
75,america,218
76,such,218
77,time,218
78,when,213
79,would,211
80,his,209
81,constitution,206
82,s,202
83,united,202
84,nations,198
85,under,198
86,you,195
87,freedom,189
88,union,189
89,me,186
90,free,183
91,war,178
92,most,176
93,what,175
94,american,165
95,national,157
96,made,156
97,let,154
98,fellow,152
99,men,149
100,make,145
101,good,145
102,well,141
103,years,141
104,spirit,140
105,were,140
106,without,139
107,life,139
108,rights,138
109,law,137
110,justice,137
111,never,133
112,had,131
113,laws,130
114,congress,130
115,before,130
116,into,128
117,each,125
118,just,123
119,your,123
120,liberty,121
121,best,120
122,right,119
123,work,118
124,duty,118
125,because,117
126,hope,117
127,interests,115
128,against,114
129,through,111
130,he,111
131,state,109
132,some,109
133,among,108
134,god,107
135,political,106
136,both,106
137,many,105
138,foreign,104
139,know,103
140,today,102
141,man,102
142,long,101
143,powers,101
144,much,100
145,history,98
146,first,98
147,policy,97
148,executive,97
149,part,96
150,between,96
151,principles,96
152,out,95
153,progress,94
154,future,94
155,human,94
156,within,93
157,same,92
158,duties,92
159,administration,91
160,day,91
161,support,90
162,common,90
163,whole,90
164,system,90
165,president,89
166,too,89
167,faith,88
168,ever,88
169,over,88
170,confidence,88
171,far,87
172,nor,87
173,purpose,86
174,present,86
175,while,85
176,service,85
177,less,85
178,together,83
179,way,82
180,party,82
181,necessary,82
182,yet,81
183,still,81
184,then,81
185,here,80
186,ourselves,80
187,always,79
188,force,79
189,old,78
190,high,78
191,institutions,77
192,equal,77
193,come,76
194,strength,76
195,others,76
196,interest,76
197,better,76
198,need,75
199,believe,75
200,general,75
201,americans,74
202,office,74
203,itself,73
204,being,73
205,land,72
206,home,71
207,federal,71
208,even,71
209,again,71
210,means,71
211,themselves,71
212,could,71
213,things,70
214,prosperity,70
215,place,70
216,action,69
217,change,69
218,find,68
219,where,68
220,give,68
221,might,68
222,republic,67
223,secure,67
224,up,66
225,given,66
226,whose,66
227,order,66
228,full,65
229,security,65
230,take,65
231,am,65
232,responsibility,64
233,commerce,64
234,proper,64
235,business,63
236,true,63
237,found,63
238,important,63
239,self,62
240,earth,62
241,like,62
242,subject,62
243,called,62
244,seek,61
245,revenue,61
246,see,61
247,century,60
248,democracy,60
249,since,60
250,character,60
251,ought,60
252,trust,60
253,toward,59
254,principle,59
255,honor,59
256,question,59
257,respect,59
258,another,59
259,done,58
260,stand,58
261,very,58
262,cause,58
263,protection,57
264,beyond,57
265,become,57
266,course,57
267,influence,57
268,help,56
269,citizen,56
270,civil,56
271,countrymen,55
272,also,55
273,strong,55
274,live,55
275,authority,55
276,however,55
277,oath,55
278,children,54
279,past,54
280,act,54
281,greater,54
282,use,53
283,economy,53
284,constitutional,53
285,meet,53
286,individual,52
287,sense,52
288,experience,52
289,happiness,52
290,love,52
291,trade,51
292,continue,51
293,resources,51
294,times,51
295,governments,51
296,nothing,50
297,whether,50
298,does,49
299,cannot,49
300,opportunity,49
301,control,49
302,labor,49
303,opinion,49
304,defense,49
305,domestic,49
306,purposes,49
307,hand,49
308,economic,48
309,promise,48
310,alone,48
311,two,48
312,condition,48
313,effort,48
314,lives,48
315,him,47
316,preserve,47
