,word,freq
1,the,5018
2,to,3974
3,and,3649
4,a,3547
5,i,3407
6,of,3047
7,you,2776
8,he,2750
9,it,2175
10,in,1928
11,that,1915
12,was,1866
13,his,1698
14,her,1591
15,she,1553
16,newman,1491
17,said,1274
18,had,1263
19,with,1176
20,have,1127
21,is,1078
22,at,1058
23,but,1053
24,as,963
25,for,919
26,n't,897
27,not,878
28,me,853
29,him,826
30,do,781
31,my,765
32,de,717
33,very,681
34,be,650
35,on,577
36,what,562
37,an,541
38,are,510
39,your,500
40,this,497
41,madame,495
42,if,492
43,they,445
44,will,441
45,which,438
46,bellegarde,436
47,would,432
48,no,402
49,am,400
50,so,393
51,been,385
52,then,376
53,all,376
54,know,369
55,there,369
56,were,348
57,up,330
58,one,329
59,cintré,313
60,valentin,307
61,little,305
62,about,303
63,by,299
64,them,295
65,say,294
66,should,290
67,see,289
68,good,288
69,we,287
70,did,273
71,out,271
72,from,269
73,into,268
74,or,267
75,old,266
76,when,260
77,great,251
78,man,248
79,think,247
80,more,245
81,who,244
82,looked,238
83,like,235
84,has,234
85,come,233
86,made,223
87,could,223
88,well,220
89,upon,217
90,something,217
91,some,214
92,oh,213
93,never,213
94,can,211
95,time,210
96,tristram,207
97,lady,206
98,too,205
99,asked,205
100,must,202
101,only,201
102,make,200
103,than,198
104,moment,193
105,go,187
106,seemed,185
107,young,185
108,much,180
109,last,178
110,eyes,178
111,nothing,177
112,take,176
113,marquis,174
114,shall,171
115,again,170
116,before,169
117,himself,169
118,now,167
119,way,166
120,looking,166
121,after,165
122,want,164
123,back,160
124,sir,159
125,went,158
126,hand,154
127,how,152
128,mother,151
129,nioche,151
130,woman,146
131,ca,143
132,better,142
133,down,142
134,might,141
135,their,140
136,came,140
137,other,139
138,told,138
139,over,135
140,away,134
141,give,133
142,tell,132
143,day,132
144,any,130
145,long,129
146,bread,128
147,here,127
148,own,127
149,place,127
150,why,126
151,first,125
152,gave,123
153,may,123
154,took,121
155,head,121
156,things,119
157,thing,116
158,going,116
159,thought,114
160,turned,113
161,yes,108
162,stood,108
163,two,108
164,always,107
165,face,107
166,found,107
167,yet,107
168,world,106
169,without,106
170,felt,104
171,room,103
172,mademoiselle,103
173,most,103
174,our,102
175,mean,101
176,brother,99
177,poor,97
178,hands,97
179,people,96
180,smile,96
181,look,96
182,even,95
183,sat,95
184,rather,94
185,such,94
186,its,94
187,afraid,93
188,let,92
189,put,92
190,paris,91
191,these,91
192,life,91
193,seen,90
194,done,89
195,just,88
196,anything,88
197,daughter,87
198,while,86
199,sister,85
200,feel,85
201,many,85
202,believe,84
203,get,84
204,began,84
205,through,84
206,three,82
207,house,82
208,still,82
209,really,81
210,cried,81
211,bad,80
212,off,80
213,ask,79
214,where,79
215,noémie,78
216,answered,77
217,mind,77
218,friend,77
219,marry,76
220,sure,76
221,suppose,75
222,does,75
223,quite,74
224,added,73
225,ever,73
226,certain,73
227,everything,72
228,left,72
229,door,71
230,half,71
231,another,71
232,dear,70
233,sort,70
234,gentleman,70
235,course,69
236,herself,69
237,knew,69
238,fellow,69
239,high,67
240,wife,67
241,myself,67
242,simply,67
243,saw,66
244,leave,66
245,almost,66
246,least,65
247,words,65
248,being,65
249,father,64
250,understand,64
251,passed,64
252,marquise,63
253,having,63
254,round,63
255,got,63
256,pretty,63
257,enough,62
258,whether,61
259,sense,61
260,once,61
261,deal,61
262,ought,60
263,french,60
264,matter,60
265,family,59
266,help,59
267,us,59
268,ah,59
269,side,59
270,urbain,58
271,talk,58
272,speak,58
273,whom,58
274,beautiful,58
275,present,57
276,person,57
277,white,57
278,laugh,57
279,husband,56
280,friends,56
281,few,56
282,strange,56
283,because,56
284,hour,55
285,best,55
286,perhaps,55
287,happy,54
288,hope,54
289,years,54
290,same,54
291,those,54
292,chapter,54
293,girl,53
294,lord,53
295,wo,53
296,small,53
297,chance,53
298,evening,52
299,far,52
300,night,52
301,son,51
302,yourself,51
303,continued,51
304,arm,50
305,else,50
306,care,50
307,call,50
308,walked,50
309,alone,49
310,please,49
311,english,49
312,part,49
313,find,49
314,taken,49
315,wanted,48
316,end,48
317,right,48
318,idea,48
319,hard,47
320,presently,47
321,taking,47
322,women,47
323,easy,46
324,days,46
325,point,46
326,companion,46
327,monsieur,46
328,though,46
329,keep,46
330,given,45
331,money,45
332,men,45
333,slowly,45
334,open,45
335,silent,44
336,next,44
337,extremely,44
338,kept,43
339,eye,43
340,heard,43
341,paper,42
342,certainly,42
343,near,42
344,word,42
345,less,42
346,fine,42
347,since,42
348,apparently,41
349,behind,41
350,need,41
351,quiet,41
352,hear,41
353,however,41
354,american,41
355,deepmere,40
356,light,40
357,used,40
358,pleasure,40
359,glad,40
360,remember,40
361,wish,40
362,both,39
363,feeling,39
364,proud,39
365,chair,39
366,try,39
367,law,39
368,business,39
369,clever,39
370,possible,39
371,fixed,39
372,appeared,39
373,doctor,38
374,reason,38
375,large,38
376,softly,38
377,against,38
378,duchess,37
379,sometimes,37
380,declared,37
381,seems,37
382,air,37
383,saying,37
384,tone,37
385,glance,37
386,kind,37
387,morning,36
388,voice,36
389,several,36
390,honor,36
391,answer,36
392,new,36
393,exclaimed,35
394,show,35
395,home,35
396,soon,35
397,desire,35
398,sitting,35
399,cold,35
400,held,34
401,stopped,34
402,different,34
403,fire,34
404,afterwards,34
405,marriage,34
406,wait,34
407,name,34
408,spoke,34
409,nor,34
410,often,34
411,expected,33
412,shook,33
413,called,33
414,coming,33
415,seated,33
416,already,33
417,heart,33
418,murmured,33
419,conversation,33
420,rose,33
421,hero,33
422,usual,33
423,count,32
424,fond,32
425,silence,32
426,pleased,32
427,sit,32
428,together,32
429,fortune,32
430,case,32
431,under,32
432,use,32
433,beside,32
434,staring,32
435,fact,31
436,observed,31
437,months,31
438,besides,31
439,gone,31
440,six,31
441,doing,31
442,exactly,31
443,short,31
444,moments,31
445,every,31
446,pictures,31
447,evidently,31
448,occasion,30
449,claire,30
450,love,30
451,each,30
452,live,30
453,turn,30
454,listened,30
455,hesitated,30
456,europe,30
457,thinking,30
458,eh,30
459,laughing,30
460,obliged,30
461,arms,30
462,itself,30
463,means,30
464,particular,30
465,bellegardes,29
466,spoken,29
467,offer,29
468,wrong,29
469,hours,29
470,trouble,29
471,remained,29
472,times,29
473,box,29
474,demanded,29
475,work,29
476,straight,29
477,truth,29
478,hat,29
479,brilliant,29
480,fleurières,28
481,babcock,28
482,between,28
483,smiling,28
484,struck,28
485,everyone,28
486,making,28
487,personal,28
488,rate,28
489,change,28
490,paused,28
491,suddenly,28
492,dress,28
493,satisfied,28
494,bring,28
495,hardly,28
496,standing,28
497,known,28
498,opened,27
499,piece,27
500,liked,27
501,closed,27
502,servant,27
503,disagreeable,27
504,talking,27
505,married,27
506,offered,27
507,country,27
508,begin,27
509,whose,27
510,minutes,27
511,charming,27
512,soft,27
513,beauty,27
514,pocket,27
515,stared,27
516,seem,27
517,perfectly,27
518,indeed,27
519,received,26
520,low,26
521,five,26
522,others,26
523,miss,26
524,court,26
525,hold,26
526,also,26
527,immediately,26
528,promise,26
529,turning,25
530,talked,25
531,wished,25
532,position,25
533,serious,25
534,meant,25
535,nature,25
536,curious,25
537,brought,25
538,along,25
539,anyone,25
540,supposed,25
541,smiled,25
542,knows,25
543,lost,25
544,ill,25
545,perfect,25
546,instant,25
547,during,25
548,toward,25
549,front,25
550,clear,25
551,visit,25
552,neither,25
553,ground,24
554,pale,24
555,movement,24
556,expect,24
557,returned,24
558,rich,24
559,wall,24
560,watching,24
561,rue,24
562,agreeable,24
563,thank,24
564,favor,24
565,taste,24
566,delicate,24
567,picture,24
568,longer,24
569,play,24
570,story,24
571,none,24
572,themselves,24
573,attention,24
574,book,24
575,seeing,23
576,stand,23
577,waiting,23
578,simple,23
579,bed,23
580,gentlemen,23
581,met,23
582,ago,23
583,among,23
584,letter,23
585,worth,23
586,read,23
587,remarkable,23
588,expression,23
589,walk,23
590,extreme,23
591,death,22
592,wicked,22
593,rooms,22
594,sad,22
595,black,22
596,strong,22
597,laid,22
598,late,22
599,able,22
600,sorry,22
601,true,22
602,set,22
603,early,22
604,rest,22
605,persons,22
606,led,22
607,couple,22
608,across,22
609,perceived,22
610,listening,22
611,learned,22
612,giving,22
613,tried,22
614,rejoined,22
615,repeated,22
616,acquaintance,22
617,general,22
618,question,22
619,lay,21
620,ladies,21
621,dead,21
622,handsome,21
623,interest,21
624,questions,21
625,unhappy,21
626,secret,21
627,drawing,21
628,force,21
629,easily,21
630,leaning,21
631,blue,21
632,dinner,21
633,impression,21
634,thousand,21
635,card,21
636,excellent,21
637,somewhat,21
638,glass,21
639,red,21
640,makes,20
641,la,20
642,believed,20
643,followed,20
644,lose,20
645,deep,20
646,grave,20
647,probably,20
648,spent,20
649,street,20
650,whole,20
651,satisfaction,20
652,commercial,20
653,reflected,20
654,laughed,20
655,drew,20
656,art,20
657,manner,20
658,holding,20
659,within,20
660,someone,20
661,louvre,20
662,lips,19
663,ball,19
664,church,19
665,replied,19
666,dropped,19
667,steps,19
668,company,19
669,justice,19
670,accepted,19
671,magnificent,19
672,either,19
673,circumstances,19
674,sound,19
675,till,19
676,fancy,19
677,ten,19
678,wore,19
679,poitiers,18
680,watched,18
681,finding,18
682,amusing,18
683,countess,18
684,convent,18
685,fair,18
686,remembered,18
687,liberty,18
688,interesting,18
689,begun,18
690,fingers,18
691,quarter,18
692,speaking,18
693,lived,18
694,table,18
695,scene,18
696,information,18
697,became,18
698,wide,18
699,child,18
700,christopher,18
701,imagination,18
702,assured,18
703,france,18
704,around,18
705,forward,18
706,suspect,17
707,creature,17
708,return,17
709,human,17
710,distance,17
711,gaze,17
712,younger,17
713,pray,17
714,pleasant,17
715,comfortable,17
716,summer,17
717,happened,17
718,confess,17
719,purpose,17
720,history,17
721,prepared,17
722,children,17
723,pity,17
724,doubt,17
725,step,17
726,bargain,17
727,seriously,17
728,quickly,17
729,nice,17
730,presented,17
731,america,17
732,figure,17
733,subject,17
734,above,17
735,full,17
736,self,17
737,ledoux,16
738,kapp,16
739,gate,16
740,pink,16
741,accept,16
742,inn,16
743,leaving,16
744,close,16
745,service,16
746,express,16
747,amused,16
748,written,16
749,dark,16
750,keeping,16
751,thin,16
752,meet,16
753,sake,16
754,heaven,16
755,opinion,16
756,gravely,16
757,uncomfortable,16
758,affair,16
759,advice,16
760,fool,16
761,order,16
762,real,16
763,altogether,16
764,deuce,16
765,until,16
766,beneath,16
767,le,16
768,beg,16
769,feet,16
770,carried,16
771,determined,16
772,twenty,16
773,bright,16
774,happiness,16
775,yours,16
776,impossible,16
777,reasons,16
778,pain,16
779,latter,16
780,carry,16
781,paint,16
782,francs,16
783,number,16
784,conscious,16
785,trying,16
786,spite,16
787,abruptly,16
788,foot,16
789,fault,16
790,respect,16
791,nose,16
792,possession,16
793,dying,15
794,terribly,15
795,waited,15
796,leaned,15
797,second,15
798,act,15
799,floor,15
800,future,15
801,interview,15
802,pass,15
803,frenchman,15
804,past,15
805,wondered,15
806,dull,15
807,thoughts,15
808,listen,15
809,imagine,15
810,immense,15
811,excuse,15
812,duty,15
813,common,15
814,appearance,15
815,apartment,15
816,succeeded,15
817,impulse,15
818,enjoy,15
819,four,15
820,music,15
821,forget,15
822,recognized,15
823,grand,15
824,ideas,15
825,comfort,15
826,broke,15
827,view,15
828,lively,15
829,sign,15
830,forgotten,15
831,bonnet,15
832,nevertheless,15
833,cast,15
834,lessons,15
835,image,15
836,honest,15
837,natural,15
838,corner,15
839,playing,15
840,mysterious,15
841,especially,15
842,approached,15
843,vaguely,15
844,hair,15
845,vague,15
846,opera,15
847,spot,15
848,year,15
849,château,14
850,violent,14
851,empty,14
852,proof,14
853,hill,14
854,uttered,14
855,request,14
856,polite,14
857,chimney,14
858,marrying,14
859,become,14
860,stay,14
861,broken,14
862,social,14
863,move,14
864,weeks,14
865,dozen,14
866,noble,14
867,presence,14
868,farther,14
869,morrow,14
870,dressed,14
871,l'université,14
872,comes,14
873,propose,14
874,confidence,14
875,otherwise,14
876,manners,14
877,meanwhile,14
878,big,14
879,particularly,14
880,entertainment,14
881,green,14
882,born,14
883,success,14
884,angry,14
885,meeting,14
886,measure,14
887,account,14
888,stick,14
889,memory,14
890,proper,14
891,bore,14
892,admitted,14
893,says,14
894,terrible,14
895,frightened,14
896,inquired,14
897,understood,14
898,shoulders,14
899,placed,14
900,carriage,14
901,ideal,14
902,admired,14
903,forehead,14
904,cruel,13
905,stanislas,13
906,bent,13
907,news,13
908,stop,13
909,tall,13
910,stone,13
911,pretend,13
912,possibly,13
913,kindly,13
914,therefore,13
915,respectable,13
916,singular,13
917,gently,13
918,promised,13
919,happen,13
920,judge,13
921,explain,13
922,hostess,13
923,age,13
924,proposal,13
925,enjoyed,13
926,conscience,13
927,visitor,13
928,introduced,13
929,free,13
930,wound,13
931,opportunity,13
932,mine,13
933,amusement,13
934,tired,13
935,sigh,13
936,avenue,13
937,humor,13
938,party,13
939,splendid,13
940,effort,13
941,society,13
942,receive,13
943,learn,13
944,admit,13
945,fear,13
946,gloves,13
947,middle,13
948,raised,13
949,wondering,13
950,meaning,13
951,sent,13
952,attitude,13
953,sleep,13
954,knowing,13
955,weak,13
956,village,12
957,grosjoyaux,12
958,beyond,12
959,hurt,12
960,melancholy,12
961,rapidly,12
962,guessed,12
963,entered,12
964,bye,12
965,worse,12
966,foolish,12
967,threw,12
968,situation,12
969,living,12
970,boulevard,12
971,reflection,12
972,expressed,12
973,looks,12
974,stepped,12
975,charm,12
976,triumph,12
977,putting,12
978,vulgar,12
979,asking,12
980,peculiar,12
981,decidedly,12
982,mere,12
983,sudden,12
984,safe,12
985,drive,12
986,depend,12
987,trifle,12
988,trust,12
989,whatever,12
990,generous,12
991,pushed,12
992,yesterday,12
993,touched,12
994,noticed,12
995,smoke,12
996,pick,12
997,boy,12
998,walls,12
999,changed,12
1000,pay,12
1001,native,12
1002,city,12
1003,language,12
1004,arrange,12
1005,gravity,12
1006,accent,12
1007,week,12
1008,wrote,12
1009,prove,12
1010,notice,12
1011,finger,12
1012,folded,12
1013,played,12
1014,fashion,12
1015,frank,12
1016,friendly,12
1017,faces,12
1018,measured,12
1019,gray,12
1020,bold,12
1021,experience,12
1022,filled,12
1023,legs,12
1024,salon,12
1025,curé,11
1026,reached,11
1027,d,11
1028,decided,11
1029,heavy,11
1030,character,11
1031,lifted,11
1032,remain,11
1033,dusky,11
1034,begged,11
1035,ashamed,11
1036,train,11
1037,note,11
1038,drop,11
1039,decide,11
1040,greatly,11
1041,pair,11
1042,italian,11
1043,regards,11
1044,tongue,11
1045,eagerness,11
1046,admiration,11
1047,solemn,11
1048,telling,11
1049,departed,11
1050,afternoon,11
1051,die,11
1052,wear,11
1053,pockets,11
1054,curiosity,11
1055,politeness,11
1056,habit,11
1057,places,11
1058,disposed,11
1059,getting,11
1060,willing,11
1061,intellectual,11
1062,later,11
1063,sooner,11
1064,intense,11
1065,whenever,11
1066,lighted,11
1067,stretched,11
1068,bit,11
1069,windows,11
1070,anywhere,11
1071,shake,11
1072,gathered,11
1073,cheerful,11
1074,month,11
1075,class,11
1076,awfully,11
1077,bought,11
1078,window,11
1079,address,11
1080,pointed,11
1081,talent,11
1082,discovered,11
1083,shy,11
1084,innocence,11
1085,formed,11
1086,capable,11
1087,copy,11
1088,moreover,11
1089,walking,11
1090,advanced,10
1091,intently,10
1092,lap,10
1093,dreadful,10
1094,breath,10
1095,arranged,10
1096,horrible,10
1097,cap,10
1098,amiable,10
1099,effect,10
1100,forever,10
1101,power,10
1102,fallen,10
1103,companions,10
1104,touch,10
1105,curtain,10
1106,staircase,10
1107,vast,10
1108,duke,10
1109,wonder,10
1110,ancient,10
1111,englishman,10
1112,sweet,10
1113,outside,10
1114,higher,10
1115,buried,10
1116,agree,10
1117,hoped,10
1118,surprise,10
1119,ugly,10
1120,moral,10
1121,shown,10
1122,ready,10
1123,message,10
1124,armchair,10
1125,hundred,10
1126,harm,10
1127,grown,10
1128,knowledge,10
1129,helped,10
1130,threshold,10
1131,rapid,10
1132,crossed,10
1133,visible,10
1134,painted,10
1135,beginning,10
1136,kissed,10
1137,forced,10
1138,visitors,10
1139,equal,10
1140,object,10
