,word,freq
1,the,2228
2,to,1777
3,a,1588
4,of,1429
5,and,1350
6,i,1238
7,you,1063
8,she,1062
9,he,1041
10,that,943
11,her,935
12,it,917
13,was,888
14,in,818
15,had,683
16,his,613
17,said,603
18,with,533
19,at,523
20,is,459
21,have,457
22,not,429
23,but,427
24,felix,389
25,for,377
26,as,370
27,very,362
28,s,352
29,him,348
30,t,327
31,gertrude,325
32,be,306
33,this,279
34,me,268
35,they,266
36,are,252
37,acton,229
38,wentworth,229
39,baroness,229
40,on,227
41,mr.,221
42,so,220
43,an,215
44,little,213
45,what,211
46,there,209
47,would,205
48,my,201
49,young,201
50,been,199
51,if,198
52,were,196
53,don,183
54,will,176
55,no,176
56,am,175
57,should,170
58,which,169
59,one,169
60,charlotte,166
61,looked,165
62,then,162
63,think,161
64,say,161
65,brand,160
66,your,151
67,all,150
68,mr,148
69,man,147
70,know,143
71,from,141
72,see,140
73,asked,139
74,come,137
75,never,137
76,eugenia,129
77,do,129
78,we,124
79,clifford,122
80,more,122
81,about,122
82,who,122
83,upon,121
84,by,120
85,like,114
86,sister,110
87,them,109
88,great,108
89,moment,104
90,much,102
91,away,98
92,has,97
93,when,95
94,looking,94
95,now,92
96,well,92
97,than,92
98,can,91
99,into,91
100,out,91
101,made,90
102,always,90
103,seemed,89
104,some,88
105,up,88
106,house,87
107,must,87
108,something,86
109,good,84
110,went,82
111,make,81
112,thought,81
113,eyes,79
114,again,77
115,nothing,74
116,go,74
117,herself,74
118,shall,72
119,before,72
120,came,71
121,münster,70
122,their,70
123,time,70
124,back,69
125,other,68
126,how,67
127,these,66
128,only,66
129,things,65
130,why,65
131,madame,64
132,over,64
133,too,63
134,or,63
135,father,62
136,any,61
137,here,61
138,want,60
139,himself,60
140,could,60
141,tell,60
142,own,60
143,old,60
144,such,58
145,woman,58
146,hand,57
147,smiling,57
148,down,57
149,stood,57
150,way,56
151,mean,56
152,people,56
153,better,55
154,yes,55
155,might,55
156,dear,54
157,while,54
158,robert,53
159,ah,53
160,last,53
161,after,53
162,cried,52
163,going,52
164,added,52
165,even,52
166,felt,51
167,love,50
168,declared,50
169,charming,50
170,found,49
171,gave,49
172,turned,49
173,ever,48
174,most,48
175,uncle,47
176,almost,47
177,brother,47
178,deal,47
179,many,47
180,oh,46
181,anything,46
182,lady,46
183,may,46
184,being,45
185,large,45
186,world,44
187,pretty,44
188,cousin,43
189,light,43
190,took,43
191,just,43
192,first,43
193,take,42
194,life,42
195,did,42
196,certain,42
197,lizzie,41
198,laugh,41
199,afraid,39
200,answered,39
201,rather,39
202,place,39
203,told,38
204,still,38
205,rejoined,38
206,yet,38
207,marry,37
208,its,37
209,saw,36
210,certainly,36
211,day,36
212,exclaimed,36
213,pleasure,36
214,began,36
215,sat,36
216,long,35
217,girl,35
218,brilliant,35
219,two,35
220,garden,34
221,sense,34
222,clever,34
223,appeared,34
224,side,34
225,head,34
226,didn,33
227,ought,33
228,sure,33
229,those,33
230,strange,33
231,window,33
232,kind,32
233,laughing,32
234,walked,32
235,smile,32
236,where,32
237,seen,32
238,knew,31
239,perhaps,31
240,slowly,31
241,off,31
242,put,31
243,course,31
244,hands,31
245,room,31
246,however,30
247,happy,30
248,companion,30
249,small,30
250,look,29
251,because,29
252,ask,29
253,indeed,29
254,face,29
255,fact,29
256,beautiful,28
257,round,28
258,natural,28
259,presently,28
260,toward,28
261,quite,28
262,passed,28
263,alone,27
264,answer,27
265,coming,27
266,present,27
267,you.,27
268,feel,27
269,got,27
270,give,27
271,agreeable,27
272,question,26
273,wish,26
274,new,26
275,wanted,26
276,talk,26
277,door,26
278,observed,26
279,often,26
280,believe,26
281,let,26
282,suppose,26
283,extremely,26
284,thing,26
285,repeated,26
286,saying,25
287,mrs.,25
288,least,25
289,silent,25
290,chair,25
291,heard,25
292,once,25
293,white,25
294,keep,25
295,boston,25
296,without,24
297,also,24
298,speak,24
299,sort,24
300,serious,24
301,person,24
302,taken,24
303,call,24
304,simply,24
305,though,24
306,women,24
307,arm,24
308,air,24
309,chapter,24
310,marriage,23
311,occasion,23
312,matter,23
313,different,23
314,really,23
315,against,23
316,poor,23
317,country,23
318,whether,23
319,handsome,23
320,known,23
321,gentleman,22
322,far,22
323,mind,22
324,wished,22
325,fond,22
326,hope,22
327,continued,22
328,another,22
329,please,22
330,murmured,22
331,interesting,22
332,itself,22
333,through,22
334,walk,22
335,hear,21
336,europe,21
337,making,21
338,home,21
339,piazza,21
340,open,21
341,among,21
342,eh,21
343,done,21
344,seem,21
345,it.,21
346,right,21
347,manner,21
348,circle,20
349,talked,20
350,thinking,20
351,words,20
352,imagination,20
353,us,20
354,gate,20
355,between,20
356,sky,20
357,get,20
358,leave,20
359,idea,20
360,along,20
361,softly,20
362,held,20
363,since,20
364,yourself,19
365,reason,19
366,standing,19
367,hat,19
368,tone,19
369,voice,19
370,several,19
371,seems,19
372,myself,19
373,evening,19
374,gone,19
375,left,19
376,everything,19
377,care,19
378,high,19
379,three,19
380,whom,19
381,near,19
382,understand,18
383,liked,18
384,son,18
385,sitting,18
386,glad,18
387,doesn,18
388,suddenly,18
389,american,18
390,called,18
391,our,18
392,enough,18
393,blue,18
394,half,18
395,shouldn,17
396,meant,17
397,turn,17
398,me.,17
399,wondered,17
400,family,17
401,miss,17
402,prince,17
403,part,17
404,stopped,17
405,afternoon,17
406,same,17
407,that.,17
408,cousins,17
409,desire,17
410,true,17
411,foreign,17
412,quickly,17
413,kept,17
414,sometimes,17
415,front,17
416,best,17
417,sir,16
418,visit,16
419,married,16
420,does,16
421,days,16
422,feeling,16
423,especially,16
424,replied,16
425,find,16
426,given,16
427,moments,16
428,demanded,16
429,years,16
430,already,16
431,help,15
