,word,freq
1,the,1594
2,and,900
3,a,755
4,to,722
5,it,658
6,i,641
7,you,612
8,she,544
9,of,485
10,said,473
11,alice,454
12,in,407
13,that,356
14,was,356
15,t,322
16,as,315
17,s,298
18,her,272
19,on,248
20,at,230
21,he,223
22,with,221
23,so,204
24,but,203
25,for,199
26,all,189
27,queen,182
28,they,168
29,if,156
30,be,153
31,one,150
32,his,148
33,what,148
34,very,148
35,had,136
36,there,135
37,is,126
38,this,125
39,like,124
40,do,119
41,up,118
42,little,116
43,out,115
44,know,112
45,then,110
46,can,107
47,have,98
48,not,97
49,me,95
50,only,94
51,ll,89
52,would,89
53,went,88
54,thought,86
55,them,84
56,see,84
57,don,80
58,when,80
59,were,80
60,now,77
61,my,75
62,herself,75
63,are,74
64,again,74
65,just,74
66,your,71
67,into,71
68,could,71
69,down,70
70,red,69
71,got,67
72,white,67
73,king,66
74,about,66
75,no,66
76,him,65
77,m,65
78,off,64
79,time,64
80,from,63
81,other,63
82,way,63
83,well,63
84,quite,62
85,head,61
86,ve,61
87,more,61
88,by,60
89,here,59
90,go,58
91,knight,57
92,never,57
93,much,56
94,how,56
95,cried,56
96,an,56
97,looked,55
98,did,55
99,some,55
100,say,55
101,round,55
102,which,55
103,two,54
104,dumpty,53
105,humpty,53
106,or,53
107,we,53
108,over,52
109,get,51
110,make,51
111,think,50
112,great,50
113,last,50
114,re,49
115,came,49
116,come,49
117,began,48
118,must,47
119,d,47
120,things,46
121,been,46
122,moment,43
123,after,43
124,through,43
125,tone,41
126,looking,41
127,oh,41
128,any,40
129,hands,39
130,why,38
131,long,38
132,eyes,38
133,didn,38
134,voice,38
135,rather,37
136,couldn,37
137,away,36
138,such,35
139,than,35
140,look,35
141,tweedledum,34
142,took,34
143,tell,34
144,its,34
145,thing,34
146,who,33
147,too,33
148,put,33
149,first,33
150,side,32
151,should,32
152,back,32
153,another,31
154,before,31
155,always,30
156,wood,30
157,course,30
158,because,30
159,let,30
160,better,30
161,really,30
162,till,30
163,hand,30
164,nothing,29
165,their,28
166,asked,28
167,take,28
168,however,28
169,getting,28
170,help,28
171,good,28
172,name,27
173,large,27
174,next,27
175,remarked,26
176,seemed,26
177,something,26
178,old,26
179,tweedledee,25
180,minute,25
181,kitty,25
182,dear,24
183,while,24
184,kitten,24
185,horse,23
186,though,23
187,suppose,23
188,wouldn,23
189,going,23
190,unicorn,22
191,where,22
192,under,22
193,ever,22
194,made,22
195,being,22
196,might,22
197,poor,22
198,sheep,21
199,answer,21
200,mean,21
201,many,21
202,shall,21
203,may,21
204,suddenly,21
205,sure,21
206,added,21
207,looking-glass,21
208,tree,20
209,replied,20
210,hair,20
211,keep,20
212,hear,20
213,once,20
214,each,20
215,still,20
216,both,19
217,feet,19
218,will,19
219,find,19
220,same,19
221,every,19
222,ought,19
223,lion,18
224,gnat,18
225,_i_,18
226,spoke,18
227,anything,18
228,turned,18
229,found,18
230,table,18
231,wish,18
232,without,18
233,talking,18
234,face,18
235,felt,17
236,done,17
237,silence,17
238,right,17
239,begin,17
240,turn,17
241,enough,17
242,has,17
243,hadn,17
244,happened,17
245,soon,17
246,three,17
247,best,16
248,song,16
249,gave,16
250,even,16
251,stood,16
252,please,16
253,breath,16
254,isn,16
255,talk,16
256,set,16
257,among,16
258,end,16
259,yet,16
260,mind,16
261,fast,16
262,sitting,16
263,beginning,16
264,house,16
265,am,15
266,repeated,15
267,afraid,15
268,call,15
269,interrupted,15
270,speak,15
271,along,15
272,himself,15
273,called,15
274,air,15
275,use,15
276,child,15
277,sort,15
278,door,15
279,hold,15
280,want,15
281,frightened,15
282,wonder,15
283,day,15
284,upon,15
285,messenger,14
286,yes,14
287,know.,14
288,dream,14
289,word,14
290,hope,14
291,thinking,14
292,remark,14
293,hill,14
294,saying,14
295,give,14
296,try,14
297,us,14
298,nice,14
299,far,14
300,saw,14
301,gently,14
302,putting,14
303,own,14
304,ear,14
305,loud,13
306,ask,13
307,remember,13
308,believe,13
309,does,13
310,people,13
311,nobody,13
312,mouth,13
313,walking,13
314,turning,13
315,words,13
316,room,13
317,shouldn,13
318,open,13
319,leave,13
320,sat,13
321,pudding,12
322,dish,12
323,carpenter,12
324,walrus,12
325,road,12
326,run,12
327,square,12
328,brook,12
329,close,12
330,ground,12
331,else,12
332,rose,12
333,tiger-lily,12
334,full,12
335,top,12
336,together,12
337,fell,12
338,shook,12
339,seen,12
340,certainly,12
341,live,12
342,whether,12
343,exactly,12
344,arms,12
345,queens,12
346,won,12
347,wasn,12
348,shut,12
349,sometimes,12
350,half,12
351,meant,12
352,chapter,12
353,hatta,11
354,boat,11
355,times,11
356,surprised,11
357,idea,11
358,almost,11
359,itself,11
360,coming,11
361,goes,11
362,doesn,11
363,new,11
364,puzzled,11
365,sudden,11
366,water,11
367,afterwards,11
368,most,11
369,fall,11
370,hardly,11
371,behind,11
372,bit,11
373,heard,11
374,running,11
375,rushes,10
376,fight,10
377,cut,10
378,poetry,10
379,tried,10
380,rule,10
381,five,10
382,faster,10
383,ran,10
384,haven,10
385,question,10
386,place,10
387,yourself,10
388,nearly,10
389,neck,10
390,glad,10
391,manage,10
392,middle,10
393,trying,10
394,dinah,10
395,having,10
396,crown,9
397,haigha,9
398,fishes,9
399,shawl,9
400,to-day,9
401,helmet,9
402,oysters,9
403,conversation,9
404,dark,9
405,tears,9
406,those,9
407,kind,9
408,four,9
409,wait,9
410,managed,9
411,walked,9
412,wanted,9
413,eagerly,9
414,deal,9
415,indeed,9
416,caught,9
417,straight,9
418,kept,9
419,garden,9
420,ready,9
421,happen,9
422,man,9
423,left,9
424,real,9
425,our,9
426,finger,9
427,watching,9
428,taking,9
429,understand,9
430,held,9
431,mutton,8
432,egg,8
433,fish,8
434,exclaimed,8
435,bread,8
436,timidly,8
437,makes,8
438,names,8
439,quietly,8
440,creature,8
441,means,8
442,pause,8
443,further,8
444,everything,8
445,men,8
446,curious,8
447,majesty,8
448,plan,8
449,lost,8
450,subject,8
451,sounded,8
452,temper,8
453,care,8
454,flowers,8
455,least,8
456,seems,8
457,it.,8
458,across,8
459,slowly,8
460,anxiously,8
461,whisper,8
462,several,8
463,bright,8
464,easy,8
465,fire,8
466,watched,8
467,trees,8
468,sent,8
469,holding,8
470,plenty,8
471,lying,8
472,hard,8
473,pretty,8
474,saddle,7
475,plum-cake,7
476,needles,7
477,shop,7
478,hundred,7
479,jam,7
480,umbrella,7
481,dreaming,7
482,seven,7
483,shake,7
484,battle,7
485,thoughtfully,7
486,often,7
487,alarm,7
488,impatiently,7
489,joke,7
490,thousand,7
491,chorus,7
492,thank,7
493,generally,7
494,guess,7
495,quick,7
496,marked,7
497,country,7
498,these,7
499,nonsense,7
500,walk,7
501,none,7
502,whispered,7
503,towards,7
504,voices,7
505,myself,7
506,sight,7
507,few,7
508,invention,7
509,o,7
510,part,7
511,book,7
512,near,7
513,cry,7
514,life,7
515,hastily,7
516,fear,7
517,rest,7
518,fact,7
519,knew,7
520,somehow,7
521,beautiful,7
522,glass,7
523,argument,7
524,brown,7
525,whenever,7
526,wake,7
527,perhaps,7
528,number,7
529,yards,7
530,grand,7
531,wrong,7
532,paw,7
533,certain,7
534,frog,6
535,whose,6
536,falling,6
537,monster,6
538,hung,6
539,hay,6
540,town,6
541,sing,6
542,horses,6
543,feather,6
544,provoking,6
545,shelf,6
546,pair,6
547,knitting,6
548,practice,6
549,consider,6
550,already,6
551,gravely,6
552,needn,6
553,triumphantly,6
554,heavy,6
555,night,6
556,ventured,6
557,shaking,6
558,politely,6
559,fawn,6
560,lessons,6
561,tea,6
562,bread-and-butter,6
563,wings,6
564,comfort,6
565,everybody,6
566,silent,6
567,insects,6
568,repeat,6
569,stopped,6
570,able,6
571,smiled,6
572,delight,6
573,explained,6
574,time.,6
575,meet,6
576,shape,6
577,anybody,6
578,growing,6
579,stop,6
580,usual,6
581,path,6
582,gone,6
583,quickly,6
584,shoulder,6
585,laugh,6
586,panted,6
587,picked,6
588,anxious,6
589,hurt,6
590,feel,6
591,arm,6
592,noticed,6
593,fun,6
594,pleased,6
595,different,6
596,pretend,6
597,smile,6
598,green,6
599,comes,6
600,soft,6
601,deny,6
602,twice,6
603,cold,6
604,window,6
605,wind,6
606,ball,6
607,game,6
608,finished,6
609,remain,5
610,dog,5
611,aged,5
612,reply,5
613,bag,5
614,anglo-saxon,5
615,opened,5
616,days,5
617,deep,5
618,beg,5
619,ah,5
620,sit,5
621,em,5
622,oars,5
623,buy,5
624,piece,5
625,objected,5
626,carefully,5
627,aloud,5
628,laughed,5
629,thoughtful,5
630,snoring,5
631,eager,5
632,meaning,5
633,shining,5
634,either,5
635,crow,5
636,rattle,5
637,standing,5
638,seem,5
639,answered,5
640,one.,5
641,lose,5
642,course.,5
643,flying,5
644,gets,5
645,them.,5
646,scream,5
647,sigh,5
648,evidently,5
649,gentle,5
650,hoarse,5
651,queer,5
652,dressed,5
653,alone,5
654,pounds,5
655,guard,5
656,six,5
657,bees,5
658,forest,5
659,peg,5
660,whole,5
661,thoughts,5
662,eighth,5
663,young,5
664,offended,5
665,show,5
666,home,5
667,drew,5
668,high,5
669,kindly,5
670,somewhere,5
671,crossed,5
672,move,5
673,world,5
674,spoken,5
675,reason,5
676,hoping,5
677,pick,5
678,shrill,5
679,wondering,5
680,worth,5
681,waving,5
682,minutes,5
683,fingers,5
684,easily,5
685,fill,5
686,mome,5
687,wabe,5
688,gimble,5
689,gyre,5
690,toves,5
691,slithy,5
692,strong,5
693,low,5
694,lay,5
695,lifted,5
696,rate,5
697,regular,5
698,likely,5
699,fit,5
700,ashes,5
701,wildly,5
702,curiosity,5
703,surprise,5
704,alive,5
705,wall,5
706,jumped,5
707,drink,5
708,sister,5
709,used,5
710,asking,5
711,leaves,5
712,against,5
713,dinner,5
714,eye,5
715,snow,5
716,doing,5
717,angry,5
718,rolled,5
719,making,5
720,watch,5
721,speaking,5
722,spread,5
723,rolling,5
724,worsted,5
725,feeling,5
726,purr,5
727,work,5
728,nose,5
729,faces,5
730,fault,5
731,black,5
732,leg,4
733,soup,4
734,guests,4
735,subtraction,4
736,invite,4
737,lap,4
738,nine,4
739,gate,4
740,inventing,4
741,mice,4
742,mild,4
743,tumble,4
744,ahoy,4
745,feast,4
746,noise,4
747,knife,4
748,cake,4
749,bring,4
750,you.,4
751,faint,4
752,invented,4
753,person,4
754,uncomfortable,4
755,proud,4
756,riddle,4
757,short,4
758,sell,4
759,heads,4
760,crabs,4
761,crab,4
762,things.,4
763,age,4
764,happy,4
765,brooch,4
766,backwards,4
767,lady,4
768,matter,4
769,repeating,4
770,fighting,4
771,ended,4
772,ridiculous,4
773,waking,4
774,shouted,4
775,heap,4
776,lovely,4
777,front,4
778,handkerchief,4
779,brought,4
780,slice,4
781,waited,4
782,thick,4
783,choose,4
784,pleasant,4
785,birds,4
786,cloud,4
787,odd,4
788,sea,4
789,sun,4
790,instantly,4
791,brother,4
792,doubtfully,4
793,singing,4
794,history,4
795,music,4
796,dancing,4
797,brothers,4
798,written,4
799,collar,4
800,whatever,4
801,melancholy,4
802,die,4
803,difficulty,4
804,body,4
805,kinds,4
806,rise,4
807,sighed,4
808,small,4
809,paper,4
810,angrily,4
811,size,4
812,creatures,4
813,returned,4
814,good-bye,4
815,sticking,4
816,dry,4
817,civil,4
818,box,4
819,hot,4
820,stay,4
821,slow,4
822,now.,4
823,ears,4
824,pawn,4
825,reached,4
826,between,4
827,late,4
828,directions,4
829,direction,4
830,opposite,4
831,thump,4
832,daresay,4
833,besides,4
834,soothing,4
835,petals,4
836,clever,4
837,daisies,4
838,way.,4
839,giddy,4
840,jumping,4
841,dead,4
842,catch,4
843,outgrabe,4
844,raths,4
845,mimsy,4
846,brillig,4
847,eht,4
848,read,4
849,pocket,4
850,memorandum-book,4
851,enormous,4
852,interest,4
853,ink,4
854,laughing,4
855,larger,4
856,astonished,4
857,clear,4
858,notice,4
859,hours,4
860,taken,4
861,lily,4
862,edge,4
863,knees,4
864,clock,4
865,instance,4
866,declare,4
867,beyond,4
868,wide,4
869,unless,4
870,chair,4
871,directly,4
872,speech,4
873,begun,4
874,check,4
875,play,4
876,sleepy,4
877,again.,4
878,summer,4
879,prison,4
880,week,4
881,punished,4
882,thirsty,4
883,keeping,4
884,scrambled,4
885,manners,4
886,giving,4
887,catching,4
888,washed,4
889,return,3
890,bow,3
891,waiters,3
892,joint,3
893,glasses,3
894,nights,3
895,decidedly,3
896,cause,3
897,fiddle-de-dee,3
898,addition,3
899,sums,3
900,stiffly,3
901,health,3
902,wine,3
903,honour,3
904,tale,3
905,reins,3
906,tune,3
907,a-sitting,3
908,cooked,3
909,fastness,3
910,lightning,3
911,riding,3
912,lid,3
913,fastened,3
914,queen.,3
915,broke,3
916,prisoner,3
917,armour,3
918,dreadful,3
919,bell,3
920,muttered,3
921,fabulous,3
922,nervously,3
923,drank,3
924,trickled,3
925,instead,3
926,sandwich,3
927,fetch,3
928,h,3
929,attitudes,3
930,soldiers,3
931,told,3
932,verse,3
933,mention,3
934,glory,3
935,presents,3
936,considered,3
937,birthday,3
938,un-birthday,3
939,present,3
940,pardon,3
941,cravat,3
942,corrected,3
943,belt,3
944,advice,3
945,years,3
946,write,3
947,lips,3
948,growled,3
949,simply,3
950,stand,3
951,sir,3
952,tables,3
953,peeping,3
954,chin,3
955,breaking,3
956,scented,3
957,glided,3
958,vexed,3
959,ceiling,3
960,empty,3
961,counter,3
962,impossible,3
963,light,3
964,expect,3
965,pricked,3
966,chance,3
967,sentence,3
968,works,3
969,living,3
970,pin,3
971,all.,3
972,wool,3
973,squeeze,3
974,thunderstorm,3
975,reach,3
976,hit,3
977,worse,3
978,quantity,3
979,yesterday,3
980,laid,3
981,grew,3
982,rain,3
983,cheerfully,3
984,foolish,3
985,ditto,3
986,that.,3
987,grass,3
988,untidy,3
989,indignantly,3
990,blue,3
991,loaf,3
992,treat,3
993,tear,3
994,sky,3
995,solemn,3
996,tired,3
997,telling,3
998,ring,3
999,hurting,3
1000,continued,3
1001,sorry,3
1002,contrariwise,3
1003,nohow,3
1004,startled,3
1005,forgot,3
1006,fat,3
1007,pointing,3
1008,ways.,3
1009,pointed,3
1010,finger-posts,3
1011,sadly,3
1012,started,3
1013,cheeks,3
1014,do.,3
1015,miss,3
1016,careless,3
1017,happens,3
1018,thin,3
1019,candles,3
1020,fond,3
1021,nervous,3
1022,inquired,3
1023,insect,3
1024,friend,3
1025,deeply,3
1026,forwards,3
1027,draw,3
1028,goat,3
1029,gentleman,3
1030,bought,3
1031,waiting,3
1032,carriage,3
1033,brush,3
1034,branch,3
1035,shy,3
1036,excuse,3
1037,bee,3
1038,principal,3
1039,vanished,3
1040,english,3
1041,french,3
1042,fifth,3
1043,fourth,3
1044,row,3
1045,distance,3
1046,ate,3
1047,panting,3
1048,ten,3
1049,passed,3
1050,changed,3
1051,crying,3
1052,second,3
1053,join,3
1054,beat,3
1055,heart,3
1056,moving,3
1057,divided,3
1058,curtsey,3
1059,ways,3
1060,possibly,3
1061,here.,3
1062,inches,3
1063,fade,3
1064,tumbled,3
1065,awkward,3
1066,girl,3
1067,gardens,3
1068,dare,3
1069,excitement,3
1070,trembling,3
1071,branches,3
1072,questions,3
1073,addressing,3
1074,bad,3
1075,determined,3
1076,corkscrew,3
1077,sharp,3
1078,natural,3
1079,stairs,3
1080,somebody,3
1081,confess,3
1082,boy,3
1083,bandersnatch,3
1084,bird,3
1085,jabberwock,3
1086,borogoves,3
1087,twas,3
1088,poem,3
1089,dna,3
1090,language,3
1091,case,3
1092,feelings,3
1093,manner,3
1094,pencil,3
1095,struck,3
1096,writing,3
1097,memorandum,3
1098,ends,3
1099,throw,3
1100,flat,3
1101,forgetting,3
1102,rounder,3
1103,dust,3
1104,blown,3
1105,blew,3
1106,sulkily,3
1107,recovered,3
1108,hug,3
1109,journey,3
1110,screaming,3
1111,covered,3
1112,rubbing,3
1113,knocked,3
1114,cinders,3
1115,chessmen,3
1116,grinned,3
1117,possible,3
1118,warm,3
1119,passage,3
1120,books,3
1121,winter,3
1122,sulky,3
1123,shouting,3
1124,liked,3
1125,autumn,3
1126,dress,3
1127,says,3
1128,sounds,3
1129,eat,3
1130,year,3
1131,milk,3
1132,pulled,3
1133,listen,3
1134,tight,3
1135,morning,3
1136,faults,3
1137,settled,3
1138,comfortably,3
1139,floor,3
1140,tidy,3
1141,to-morrow,3
1142,touching,3
1143,pretending,3
1144,undone,3
1145,asleep,3
1146,arm-chair,3
1147,corner,3
1148,doubt,3
1149,rubbed,3
1150,children,3
1151,mischief,3
1152,entirely,3
1153,willing,2
1154,nestle,2
1155,july,2
1156,lingering,2
1157,sunny,2
1158,pretended,2
1159,kittens,2
1160,dreamed,2
1161,longer,2
1162,dishes,2
1163,tureen,2
1164,plates,2
1165,pull,2
1166,thanks,2
1167,screamed,2
1168,holds,2
1169,lie,2
1170,remove,2
1171,introduced,2
1172,tis,2
1173,ninety,2
1174,welcome,2
1175,hobbled,2
1176,servant,2
1177,missed,2
1178,nightcap,2
1179,knocking,2
1180,thunder,2
1181,bone,2
1182,moaned,2
1183,finding,2
1184,golden,2
1185,knowing,2
1186,fitted,2
1187,sang,2
1188,evening,2
1189,reminds,2
1190,glue,2
1191,noble,2
1192,wealth,2
1193,fatter,2
1194,fan,2
1195,listened,2
1196,thee,2
1197,blaze,2
1198,strange,2
1199,enjoyed,2
1200,haddocks,2
1201,lower,2
1202,downwards,2
1203,too.,2
1204,ditch,2
1205,kick,2
1206,see.,2
1207,tumbling,2
1208,clasping,2
1209,smoothly,2
1210,wheels,2
1211,art,2
1212,save,2
1213,habit,2
1214,much.,2
1215,bunches,2
1216,bag.,2
1217,mouse-trap,2
1218,bee-hive,2
1219,hanging,2
1220,upside-down,2
1221,fire-irons,2
1222,rules,2
1223,mounted,2
1224,rang,2
1225,carried,2
1226,obediently,2
1227,afterwards.,2
1228,bank,2
1229,bridge,2
1230,quarrel,2
1231,prevent,2
1232,fair,2
1233,joined,2
1234,conjuring-trick,2
1235,dreamily,2
1236,solemnly,2
1237,monsters,2
1238,introduce,2
1239,e,2
1240,enemy,2
1241,drums,2
1242,effort,2
1243,cheek,2
1244,horn,2
1245,fearfully,2
