,word,freq
1,the,2277
2,and,1537
3,of,872
4,he,816
5,was,697
6,to,676
7,a,656
8,his,559
9,in,537
10,it,381
11,buck,358
12,that,311
13,with,304
14,him,289
15,they,289
16,had,274
17,as,257
18,for,237
19,on,226
20,were,217
21,at,208
22,but,197
23,not,186
24,s,178
25,by,161
26,them,153
27,from,152
28,out,138
29,into,131
30,which,124
31,all,116
32,their,115
33,one,112
34,dogs,112
35,when,110
36,down,110
37,thornton,102
38,this,101
39,or,101
40,up,100
41,did,97
42,man,95
43,no,94
44,so,90
45,an,86
46,back,85
47,could,80
48,upon,79
49,there,79
50,day,76
51,through,74
52,men,73
53,time,72
54,more,72
55,would,69
56,made,66
57,spitz,65
58,came,65
59,life,63
60,sled,60
61,françois,60
62,over,59
63,be,59
64,who,59
65,you,58
66,never,57
67,dog,57
68,like,56
69,where,56
70,two,55
71,again,55
72,though,54
73,while,54
74,camp,53
75,head,53
76,her,52
77,been,52
78,long,52
79,feet,49
80,then,49
81,great,49
82,other,47
83,went,46
84,way,45
85,last,44
86,knew,44
87,himself,44
88,i,44
89,trail,41
90,away,41
91,days,41
92,saw,41
93,night,41
94,than,41
95,john,40
96,eyes,40
97,she,39
98,perrault,39
99,till,39
100,too,39
101,under,39
102,three,38
103,half,38
104,its,38
105,hal,37
106,hundred,37
107,about,36
108,first,35
109,only,35
110,side,34
111,before,34
112,after,34
113,club,34
114,get,33
115,what,33
116,off,33
117,every,33
118,fire,32
119,wild,32
120,snow,31
121,each,31
122,between,31
123,team,30
124,sol-leks,30
125,another,30
126,many,30
127,teeth,30
128,left,29
129,is,29
130,once,29
131,things,29
132,behind,28
133,ice,28
134,traces,28
135,go,28
136,took,28
137,old,28
138,thing,27
139,face,27
140,do,27
141,water,27
142,nor,27
143,hand,27
144,seemed,26
145,wolf,26
146,body,26
147,fell,26
148,now,26
149,very,26
150,sprang,26
151,around,26
152,found,26
153,because,26
154,have,26
155,forest,25
156,dave,25
157,end,25
158,such,25
159,t,25
160,rest,24
161,some,24
162,still,23
163,work,23
164,nothing,23
165,own,23
166,said,23
167,even,23
168,stood,23
169,place,23
170,turned,22
171,well,22
172,mercedes,21
173,run,21
174,cried,21
175,strength,21
176,morning,21
177,love,21
178,dead,20
179,bank,20
180,mates,20
181,should,20
182,air,20
183,times,20
184,know,20
185,good,20
186,lay,20
187,miles,19
188,whip,19
189,yet,19
190,against,19
191,along,19
192,throat,19
193,neck,19
194,rope,19
195,ran,19
196,call,19
197,hans,18
198,dawson,18
199,huskies,18
200,broke,18
201,straight,18
202,brought,18
203,matter,18
204,less,18
205,forth,18
