,word,freq
1,the,3791
2,and,3106
3,a,1862
4,to,1719
5,of,1461
6,it,1268
7,he,1247
8,was,1176
9,that,1009
10,i,1003
11,in,954
12,you,844
13,his,820
14,'s,802
15,tom,795
16,with,646
17,they,613
18,n't,602
19,but,582
20,for,533
21,had,526
22,him,418
23,as,398
24,she,397
25,do,382
26,on,375
27,at,372
28,said,355
29,so,353
30,there,333
31,all,323
32,then,305
33,be,295
34,this,290
35,up,290
36,not,289
37,her,284
38,would,281
39,were,277
40,out,272
41,now,267
42,no,264
43,by,252
44,huck,247
45,what,245
46,if,237
47,'ll,217
48,when,212
49,me,203
50,could,196
51,their,194
52,one,187
53,did,186
54,an,186
55,time,182
56,from,180
57,is,175
58,we,174
59,got,172
60,well,170
61,them,169
62,about,167
63,have,165
64,joe,164
65,down,162
66,boys,156
67,been,150
68,upon,148
69,or,147
70,just,146
71,little,141
72,into,140
73,go,137
74,more,135
75,see,133
76,over,132
77,never,131
78,boy,131
79,away,129
80,come,125
81,again,125
82,'d,124
83,know,123
84,like,120
85,oh,119
86,came,118
87,two,118
88,any,116
89,back,115
90,some,114
91,went,114
92,get,113
93,becky,113
94,began,110
95,ai,108
96,only,105
97,himself,105
98,say,104
99,my,104
100,too,103
101,good,102
102,way,101
103,here,99
104,other,99
105,tell,99
106,off,99
107,ever,98
108,why,98
109,before,96
110,old,96
111,let,94
112,after,94
113,right,93
114,through,93
115,how,91
116,long,88
117,under,88
118,around,87
119,made,87
120,night,86
121,found,85
122,aunt,84
123,thought,83
124,your,83
125,who,83
126,took,82
127,presently,82
128,last,81
129,every,79
130,very,78
131,sid,78
132,its,76
133,'ve,75
134,where,74
135,take,74
136,going,74
137,injun,74
138,'re,73
139,chapter,72
140,reckon,71
141,always,70
142,can,70
143,day,70
144,yes,69
145,which,69
146,thing,69
147,moment,68
148,such,67
149,great,67
150,head,67
151,heart,67
152,face,66
153,than,66
154,still,66
155,might,65
156,once,65
157,something,64
158,dead,64
159,seemed,63
160,much,62
161,while,62
162,hand,62
163,will,62
164,want,61
165,another,60
166,along,59
167,man,58
168,place,58
169,house,58
170,look,57
171,put,57
172,polly,57
173,enough,56
174,poor,56
175,till,55
176,three,55
177,make,54
178,new,54
179,done,53
180,because,53
181,stood,53
182,next,52
183,even,51
184,anything,51
185,turned,51
186,village,51
187,potter,51
188,find,50
189,eyes,50
190,keep,50
191,mind,50
192,nothing,50
193,talk,50
194,wo,49
195,each,48
196,anybody,48
197,told,48
198,us,48
199,home,48
200,these,47
201,knew,47
202,cave,47
203,school,47
204,give,46
205,are,46
206,without,46
207,lay,46
208,thatcher,46
209,must,45
210,soon,45
211,'em,45
212,'m,45
213,looked,45
214,work,45
215,ca,44
216,think,43
217,door,43
218,gone,43
219,far,42
220,men,42
221,town,42
222,things,42
223,fell,41
224,sat,41
225,it.,41
226,widow,41
227,maybe,40
228,better,40
229,most,40
230,saw,40
231,water,39
232,many,39
