,word,freq
1,the,1142
2,of,779
3,and,345
4,in,287
5,to,262
6,a,163
7,is,135
8,that,125
9,by,113
10,with,100
11,it,99
12,bourgeois,96
13,all,95
14,class,93
15,bourgeoisie,91
16,as,83
17,they,81
18,for,80
19,its,78
20,their,75
21,society,70
22,has,68
23,this,66
24,but,64
25,proletariat,63
26,property,56
27,are,56
28,into,54
29,on,53
30,not,53
31,more,51
32,production,50
33,conditions,50
34,which,43
35,have,42
36,modern,41
37,from,41
38,these,39
39,at,39
40,be,38
41,no,36
42,social,36
43,against,34
44,only,33
45,one,32
46,socialism,30
47,existence,30
48,an,30
49,so,29
50,industry,29
51,means,29
52,political,28
53,labour,28
54,development,26
55,form,25
56,therefore,25
57,was,25
58,itself,25
59,old,25
60,will,24
61,relations,24
62,capital,24
63,up,24
64,feudal,24
65,communists,24
66,state,23
67,every,23
68,or,23
69,working,22
70,own,22
71,can,22
72,when,21
73,other,21
74,we,21
75,classes,21
76,whole,21
77,german,21
78,abolition,20
79,most,20
80,new,20
81,french,20
82,you,19
83,do,19
84,movement,19
85,under,19
86,revolutionary,19
87,his,18
88,ideas,17
89,them,17
90,between,17
91,struggle,17
92,been,17
93,revolution,16
94,historical,16
95,interests,16
96,character,16
97,what,16
98,such,15
99,longer,15
100,existing,15
101,proletarians,15
102,time,15
103,ruling,14
104,national,14
105,country,14
106,than,14
107,man,14
108,first,14
109,common,14
110,out,13
111,also,13
112,industrial,13
113,were,13
114,place,13
115,antagonisms,13
116,away,13
117,communism,13
118,action,12
119,order,12
120,who,12
121,countries,12
122,thus,12
123,literature,12
124,individual,12
125,family,12
126,exploitation,12
127,germany,12
128,proportion,12
129,middle,12
130,power,12
131,your,11
132,present,11
133,within,11
134,any,11
135,competition,11
136,had,11
137,just,11
138,forces,11
139,being,11
140,must,11
141,free,11
142,freedom,11
143,general,11
144,same,11
145,developed,11
146,great,11
147,reactionary,11
148,communist,11
149,private,10
150,those,10
151,he,10
152,hands,10
153,work,10
154,whose,10
155,products,10
156,life,10
157,instruments,10
158,france,10
159,there,10
160,course,10
161,even,10
162,commerce,10
163,each,10
164,history,10
165,wage-labour,9
166,section,9
167,petty,9
168,does,9
169,past,9
170,many,9
171,then,9
172,productive,9
173,nation,9
174,themselves,9
175,material,9
176,become,9
177,condition,9
178,without,9
179,nations,9
180,part,9
181,way,9
182,machinery,9
183,different,9
184,system,9
185,exchange,9
186,our,9
187,ages,9
188,now,9
189,word,9
190,socialist,8
191,us,8
192,proletarian,8
193,education,8
194,england,8
195,workers,8
196,women,8
197,him,8
198,crises,8
199,made,8
200,population,8
201,mode,8
202,becomes,8
203,over,8
204,mere,8
205,hand,8
206,ever,8
207,generally,8
208,everywhere,8
209,fight,8
210,various,8
211,world,8
212,already,8
213,parties,8
214,party,8
215,true,7
216,philosophical,7
217,practical,7
218,supremacy,7
219,very,7
220,nothing,7
221,appropriation,7
222,take,7
223,because,7
224,if,7
225,created,7
226,i.e.,7
227,far,7
228,'s,7
229,much,7
230,labourers,7
231,personal,7
232,see,7
233,increase,7
234,ancient,7
235,another,7
236,end,7
237,things,7
238,criticism,6
239,public,6
240,disappearance,6
241,buying,6
242,selling,6
243,members,6
244,antagonism,6
245,based,6
246,point,6
247,law,6
248,may,6
249,future,6
250,aristocracy,6
251,union,6
252,yet,6
253,still,6
254,contest,6
255,small,6
256,upon,6
257,words,6
258,use,6
259,too,6
260,agriculture,6
261,systems,6
262,few,6
263,universal,6
264,industries,6
265,bring,6
