,word,freq
1,the,4187
2,and,2970
3,i,2839
4,of,2639
5,to,2087
6,my,1773
7,a,1384
8,in,1125
9,was,1021
10,that,1015
11,me,857
12,had,686
13,but,686
14,with,666
15,he,602
16,you,568
17,which,558
18,not,554
19,it,544
20,his,533
21,as,526
22,for,496
23,by,461
24,on,460
25,this,401
26,from,385
27,her,371
28,have,365
29,be,357
30,when,328
31,at,317
32,were,308
33,is,307
34,she,253
35,your,252
36,him,220
37,an,210
38,so,208
39,they,205
40,one,202
41,all,197
42,could,196
43,will,194
44,if,193
45,been,190
46,their,184
47,would,183
48,are,176
49,or,175
50,who,174
51,we,174
52,no,172
53,more,164
54,now,154
55,should,153
56,these,153
57,yet,152
58,some,147
59,before,146
60,can,139
61,man,136
62,myself,135
63,father,133
64,what,131
65,them,127
66,our,126
67,upon,126
68,am,126
69,into,124
70,only,123
71,its,123
72,did,119
73,do,116
74,life,112
75,than,110
76,then,109
77,every,109
78,might,108
79,first,108
80,own,106
81,eyes,104
82,shall,104
83,said,102
84,may,99
85,time,97
86,being,96
87,saw,94
88,even,94
89,how,94
90,towards,94
91,those,91
92,elizabeth,89
93,most,88
94,found,87
95,night,87
96,s,86
97,such,86
98,mind,85
99,any,84
100,again,82
101,day,82
102,whom,80
103,felt,79
104,after,78
105,there,78
106,ever,78
107,where,77
108,other,76
109,feelings,76
110,heart,76
111,very,75
112,death,75
113,thought,74
114,dear,72
115,soon,71
116,friend,70
117,made,70
118,up,70
119,while,68
120,still,68
121,many,68
122,during,67
123,passed,67
124,also,66
125,never,66
126,miserable,64
127,must,64
128,thus,63
129,has,63
130,same,62
131,heard,62
132,few,61
133,like,61
134,became,61
135,us,60
136,sometimes,60
137,love,59
138,place,58
139,human,58
140,little,58
141,over,58
142,appeared,57
143,indeed,56
144,justine,55
145,clerval,55
146,often,54
147,friends,53
148,misery,53
149,although,53
150,about,53
151,words,52
152,nature,52
153,until,52
154,country,52
155,cottage,51
156,among,51
157,several,51
158,hope,50
159,away,50
160,old,50
161,see,50
162,great,50
163,whose,50
164,felix,49
165,know,49
166,happiness,49
167,despair,48
168,return,48
169,feel,48
170,chapter,48
171,days,47
172,another,47
173,through,47
174,happy,46
175,long,46
176,voice,46
177,sun,45
178,scene,44
179,poor,44
180,men,44
181,years,44
182,world,44
183,horror,43
184,alone,43
185,creature,43
