,word,freq
1,the,14400
2,of,6608
3,and,6420
4,a,4701
5,to,4620
6,in,4167
7,that,3062
8,his,2527
9,it,2501
10,i,2078
11,he,1885
12,but,1800
13,as,1735
14,with,1722
15,is,1721
16,was,1648
17,for,1610
18,all,1515
19,this,1389
20,at,1317
21,whale,1224
22,not,1214
23,by,1203
24,from,1088
25,so,1062
26,him,1062
27,on,1059
28,be,1044
29,one,920
30,you,893
31,there,845
32,now,782
33,had,779
34,have,768
35,or,712
36,were,682
37,they,666
38,which,647
39,like,646
40,then,627
41,me,623
42,their,620
43,some,618
44,what,607
45,when,600
46,are,598
47,an,593
48,my,587
49,no,582
50,upon,566
51,out,535
52,man,525
53,into,523
54,up,521
55,ship,516
56,more,507
57,ahab,501
58,if,481
59,them,471
60,we,459
61,sea,454
62,old,449
63,would,438
64,ye,429
65,other,416
66,do,415
67,been,415
68,over,409
69,these,402
70,will,390
71,though,378
72,only,376
73,its,376
74,down,375
75,such,370
76,who,360
77,yet,344
78,head,343
79,boat,335
80,time,334
81,long,333
82,her,330
83,captain,326
84,any,325
85,very,322
86,here,319
87,still,311
88,about,309
89,than,307
90,those,306
91,great,306
92,said,303
93,before,298
94,two,297
95,has,296
96,did,285
97,seemed,283
98,must,283
99,white,281
100,most,281
101,last,277
102,after,269
103,whales,269
104,way,268
105,thou,267
106,can,266
107,see,263
108,again,260
109,stubb,256
110,n't,256
111,how,250
112,queequeg,249
113,little,249
114,your,249
115,round,247
116,while,245
117,three,244
118,sperm,244
119,men,243
120,say,240
121,may,239
122,first,235
123,every,232
124,through,232
125,well,230
126,us,227
127,being,225
128,much,223
129,could,222
130,off,220
131,good,215
132,where,215
133,same,212
134,hand,210
135,side,207
136,our,207
137,never,206
138,himself,205
139,own,205
140,ever,205
141,look,204
142,starbuck,195
143,almost,195
144,deck,194
145,go,194
146,even,190
147,water,189
148,thing,187
149,might,183
150,should,182
151,too,182
152,away,181
153,come,178
154,made,178
155,day,175
156,world,175
157,chapter,173
158,pequod,172
159,life,172
160,fish,168
161,among,167
162,sir,166
163,many,166
164,far,165
165,back,164
166,seen,164
167,let,158
168,line,157
169,cried,156
170,without,156
171,eyes,156
172,nor,155
173,sort,152
174,oh,151
175,night,150
176,thought,150
177,aye,149
178,part,149
179,right,149
180,god,149
181,once,148
182,know,147
183,boats,145
184,air,141
185,crew,140
186,whole,137
187,half,136
188,take,136
189,tell,134
190,against,134
191,thus,133
192,whaling,131
193,things,131
194,came,130
195,thee,130
196,hands,129
197,soon,129
198,each,128
199,small,128
200,mast,128
201,feet,127
202,both,123
203,something,123
204,till,123
205,full,123
206,think,122
207,between,120
208,under,120
209,she,119
210,just,117
211,place,116
212,why,116
213,called,116
214,another,115
215,found,115
216,nothing,115
217,towards,114
218,thy,113
219,times,112
220,saw,112
221,poor,112
222,make,111
223,along,110
224,body,110
225,heard,109
226,flask,108
227,high,108
228,stand,106
229,moment,105
230,sight,104
231,voyage,103
232,sun,101
233,sail,101
234,end,100
235,new,99
236,hold,98
237,does,98
238,strange,98
239,went,97
240,nantucket,96
241,years,96
242,shall,96
243,leviathan,96
244,face,95
245,get,95
246,however,94
247,few,93
248,dead,93
249,black,92
250,because,91
251,whether,91
252,also,91
253,stood,90
254,oil,90
255,indeed,89
256,going,89
257,perhaps,89
258,death,89
259,certain,89
260,heart,89
261,arm,88
262,ships,88
263,am,88
264,leg,87
265,iron,87
266,seems,87
267,seas,87
268,sometimes,87
269,whose,87
270,eye,87
271,true,87
272,heads,86
273,matter,86
274,give,85
275,cabin,84
276,wild,84
277,seem,84
278,itself,84
279,jonah,84
280,moby,83
281,hard,83
282,dick,82
283,standing,82
284,soul,82
285,days,82
286,sailor,81
287,harpooneer,81
288,tail,81
289,ocean,81
290,present,80
291,young,80
292,always,80
293,mind,80
294,land,80
295,known,80
296,light,79
297,ere,79
298,large,79
299,mate,78
300,length,78
301,within,78
302,bildad,77
303,instant,77
304,lay,77
305,bed,76
