,word,freq
1,and,3330
2,the,2768
3,to,2228
4,of,2060
5,in,1364
6,his,1177
7,with,1156
8,or,714
9,that,703
10,all,700
11,from,686
12,not,647
13,i,593
14,but,588
15,as,560
16,thir,540
17,on,535
18,a,535
19,by,517
20,for,467
21,he,459
22,thy,453
23,so,442
24,thou,436
25,this,424
26,what,397
27,they,381
28,then,378
29,thee,362
30,him,351
31,be,339
32,her,337
33,heav'n,332
34,now,325
35,thus,319
36,which,307
37,who,290
38,our,283
39,shall,281
40,th,279
41,my,273
42,at,271
43,more,252
44,god,250
45,is,232
46,yet,230
47,them,229
48,when,222
49,though,218
50,whom,209
51,earth,207
52,nor,204
53,me,203
54,was,199
55,no,198
56,had,185
57,us,185
58,will,183
59,we,180
60,if,177
61,first,177
62,where,170
63,such,169
64,these,158
65,it,157
66,man,157
67,high,153
68,how,153
69,can,147
70,have,147
71,through,142
72,one,142
73,may,128
74,great,124
75,while,123
76,till,121
77,death,121
78,hell,116
79,like,116
80,other,114
81,hath,114
82,here,112
83,day,112
84,both,111
85,each,110
86,up,110
87,stood,109
88,those,107
89,whose,107
90,good,106
91,might,106
92,things,105
93,into,105
94,light,104
95,night,104
96,there,102
97,love,100
98,self,100
99,farr,99
100,eve,97
101,o,96
102,adam,95
103,world,94
104,soon,91
105,life,89
106,down,89
107,son,88
108,hee,88
109,let,88
110,were,88
111,long,87
112,know,86
113,still,86
114,forth,85
115,place,85
116,mee,84
117,less,83
118,way,81
119,ye,81
120,own,80
121,she,79
122,new,79
123,found,79
124,under,79
125,power,79
126,hand,78
127,out,78
128,much,77
129,deep,76
130,before,76
131,made,75
132,over,74
133,must,74
134,end,74
135,are,72
136,fair,72
137,part,71
138,without,71
139,men,71
140,gods,70
141,once,70
142,satan,69
143,sight,68
144,round,68
145,lost,68
146,hast,67
147,none,67
148,could,67
149,well,67
150,against,67
151,among,66
152,since,66
153,should,64
154,onely,63
155,sun,63
156,evil,63
157,above,63
158,heav'ns,63
159,paradise,63
160,last,62
161,many,62
162,angel,62
163,spake,62
164,wide,61
165,head,61
166,bright,61
167,fruit,61
168,least,60
169,sea,60
170,saw,59
171,ground,59
172,within,59
173,oft,59
174,joy,59
175,would,58
176,heard,57
177,right,57
178,eyes,57
179,their,57
180,just,56
181,sweet,56
182,find,56
183,your,55
184,best,55
185,left,55
186,after,55
187,side,55
188,perhaps,54
189,spirits,54
190,thoughts,54
191,rest,54
192,came,53
193,see,53
194,fire,53
195,heart,53
196,thence,53
197,nature,52
198,some,52
199,warr,52
200,hope,52
201,tree,52
202,live,51
203,art,51
204,state,51
205,father,50
206,air,50
207,seat,50
208,behold,49
209,works,49
210,words,49
211,two,48
212,taste,48
213,free,48
214,ere,47
215,work,47
216,king,47
217,ever,47
218,thought,47
219,most,47
220,angels,47
221,dark,47
222,sin,46
223,created,46
224,throne,46
225,divine,45
226,eye,45
227,said,45
228,peace,45
229,eternal,45
230,aire,44
231,voice,44
232,powers,44
233,foe,44
234,fell,44
235,fall,44
236,spirit,44
237,heav'nly,44
238,happie,43
239,fear,43
240,full,43
241,never,43
242,darkness,43
243,hill,43
244,stand,42
245,sons,42
246,reason,42
247,bring,42
248,else,42
249,pain,42
250,som,41
251,also,41
252,whence,41
253,pure,41
254,alone,40
255,bliss,40
256,dwell,40
257,time,40
258,off,40
259,seemd,39
260,race,39
261,land,39
262,grace,39
263,began,39
264,call'd,39
265,vain,39
266,therefore,38
267,mean,38
268,shape,38
269,force,38
270,next,38
271,serpent,38
272,gold,37
273,human,37
274,too,37
275,worse,37
276,mind,37
277,equal,37
278,set,37
279,wings,37
280,thine,36
281,come,36
282,host,36
283,flight,36
284,delight,36
285,brought,36
286,mine,35
287,faith,35
288,back,35
289,field,35
290,change,35
291,arms,35
292,himself,35
293,repli'd,34
294,why,34
295,about,34
296,half,34
297,sound,34
298,beyond,34
299,name,34
300,sad,34
301,strength,34
302,fierce,34
303,praise,33
304,length,33
305,morn,33
306,seek,33
307,glorie,32
308,knowledge,32
309,either,32
310,past,32
311,sat,32
312,call,32
313,beast,32
314,do,32
315,rose,32
316,woe,32
317,book,32
318,shalt,31
319,vertue,31
320,better,31
321,heaven,31
322,thither,31
