,word,freq
1,the,7692
2,and,5976
3,of,5075
4,to,3451
5,is,2683
6,in,2326
7,he,2153
8,a,2114
9,that,1992
10,be,1875
11,i,1587
12,not,1583
13,which,1414
14,are,1333
15,or,1215
16,you,1176
17,they,1176
18,will,1134
19,said,1047
20,as,969
21,we,918
22,but,880
23,have,871
24,them,826
25,his,758
26,for,695
27,by,691
28,who,670
29,their,638
30,what,629
31,this,603
32,then,590
33,one,589
34,with,589
35,if,557
36,all,537
37,there,535
38,at,517
39,has,491
40,true,489
41,when,486
42,other,472
43,do,465
44,him,458
45,yes,445
46,any,442
47,no,431
48,good,421
49,would,421
50,may,419
51,state,402
52,from,384
53,can,378
54,man,369
55,only,354
56,say,340
57,our,339
58,an,338
59,was,334
60,more,324
61,should,297
62,must,297
63,on,297
64,so,296
65,us,286
66,were,281
67,like,276
68,now,272
69,such,269
70,very,265
71,than,255
72,replied,254
73,also,242
74,another,241
75,certainly,238
76,just,237
77,same,236
78,justice,233
79,men,233
80,these,233
81,about,227
82,been,227
83,own,225
84,into,222
85,soul,211
86,how,211
87,it,208
88,let,203
89,being,201
90,shall,196
91,most,193
92,nature,192
93,life,191
94,my,185
95,me,184
96,whether,184
97,had,181
98,some,176
99,many,171
100,those,170
101,things,166
102,way,165
103,first,163
104,well,160
105,knowledge,159
106,mean,153
107,know,146
108,make,144
109,your,142
110,truth,141
111,see,140
112,out,139
113,her,138
114,himself,138
115,evil,136
116,think,132
117,socrates,132
118,right,130
119,whom,122
120,because,121
121,great,119
122,sort,118
123,never,118
124,quite,117
125,up,117
126,therefore,116
127,two,115
128,better,113
129,either,113
130,unjust,112
131,injustice,112
132,reason,111
133,saying,111
134,nothing,111
135,others,110
136,am,108
137,opinion,108
138,best,108
139,having,107
140,city,107
141,made,107
142,question,106
143,glaucon,106
144,every,106
145,both,106
146,suppose,105
147,take,105
148,time,105
149,ought,104
150,far,104
151,thing,99
152,upon,99
153,mind,98
154,again,96
155,art,96
156,why,95
157,yet,95
158,after,94
159,order,93
160,part,92
161,nor,91
162,whole,90
163,does,90
164,'s,89
165,neither,89
166,gods,88
167,too,88
168,power,86
169,always,85
170,use,84
171,able,84
172,manner,84
173,much,83
174,even,82
175,virtue,81
176,principle,81
177,body,80
178,themselves,80
179,words,80
180,world,80
181,guardians,79
182,go,79
183,might,78
184,under,78
185,rather,77
186,still,77
187,ever,76
188,philosophy,76
189,answer,75
190,anything,75
191,over,75
192,greatest,75
193,tell,74
194,pleasure,74
195,come,74
196,friend,73
197,each,72
198,rulers,72
199,clearly,72
200,she,71
201,ask,71
202,before,71
203,place,71
204,against,70
205,found,70
206,speaking,69
207,argument,69
208,among,69
209,children,68
210,further,68
211,adeimantus,68
212,class,67
213,case,67
214,agree,66
215,kind,66
216,light,66
217,citizens,66
218,thrasymachus,65
219,god,65
220,greater,65
221,likely,64
222,thus,64
223,youth,63
224,pleasures,63
225,give,62
226,end,62
227,view,62
228,honour,61
229,indeed,61
230,without,61
231,old,61
232,hear,60
233,desire,60
234,women,60
235,less,60
236,work,60
237,education,60
238,sight,60
239,consider,59
240,human,59
241,desires,59
242,did,57
243,away,57
244,law,57
245,war,56
246,money,56
247,people,56
248,interest,56
249,seen,56
250,form,56
251,wisdom,55
252,call,55
253,could,55
254,states,55
255,son,54
256,spirit,54
257,three,54
258,enough,54
259,understand,53
260,believe,53
261,look,53
262,love,53
263,speak,53
264,while,53
265,little,53
266,thought,53
267,else,52
268,imagine,52
269,music,52
270,where,52
271,point,52
272,tyrant,51
273,wise,51
274,persons,51
275,truly,51
276,common,51
277,bad,50
278,friends,50
279,different,50
280,care,50
281,individual,50
282,making,50
283,natures,49
284,next,49
285,young,49
286,arts,49
287,want,49
288,natural,49
289,become,49
290,rest,48
291,father,48
292,opposite,47
293,proceed,47
294,put,47
295,find,47
296,general,47
297,person,46
298,course,46
299,present,46
300,together,46
301,idea,46
302,homer,45
303,third,45
304,really,44
305,number,44
306,government,44
307,although,44
308,surely,43
309,remember,43
310,sense,43
311,subject,43
312,pain,42
313,eyes,42
314,certain,42
315,already,42
316,necessity,42
317,rule,42
318,hand,42
319,last,42
320,real,42
321,second,42
322,given,42
323,between,42
324,age,42
325,called,41
326,fear,41
327,need,41
328,down,41
329,plato,41
330,beauty,40
331,comes,40
332,until,40
333,private,40
334,qualities,40
335,matter,40
336,character,40
337,done,40
338,philosopher,40
339,here,40
340,change,39
341,turn,39
342,help,39
