,word,freq
1,the,7699
2,and,5981
3,of,5078
4,to,3454
5,is,2683
6,in,2327
7,he,2159
8,a,2115
9,that,1994
10,be,1876
11,not,1601
12,i,1586
13,which,1414
14,are,1333
15,or,1215
16,you,1178
17,they,1177
18,will,1137
19,said,1047
20,as,969
21,we,918
22,but,882
23,have,871
24,them,827
25,his,759
26,for,702
27,by,695
28,who,670
29,their,638
30,what,632
31,this,603
32,then,591
33,one,589
34,with,589
35,if,559
36,all,539
37,there,536
38,at,517
39,has,491
40,true,489
41,when,487
42,other,472
43,do,467
44,him,457
45,yes,448
46,any,442
47,no,433
48,good,431
49,would,421
50,may,420
51,state,404
52,from,384
53,can,379
54,man,372
55,only,354
56,say,340
57,our,340
58,an,338
59,was,335
60,more,324
61,so,299
62,must,298
63,on,298
64,should,297
65,us,286
66,were,281
67,like,278
68,now,272
69,such,269
70,very,266
71,than,255
72,replied,254
73,also,242
74,another,241
75,certainly,238
76,just,237
77,same,236
78,men,235
79,justice,233
80,these,233
81,about,227
82,been,227
83,own,225
84,into,222
85,being,216
86,how,213
87,soul,212
88,it,210
89,let,205
90,shall,197
91,most,194
92,life,193
93,nature,192
94,my,186
95,whether,186
96,me,184
97,had,181
98,well,181
99,some,176
100,many,176
101,those,170
102,things,167
103,first,166
104,way,165
105,knowledge,159
106,mean,153
107,know,146
108,make,144
109,your,142
110,truth,141
111,see,140
112,out,140
113,evil,139
114,her,138
115,himself,138
116,socrates,133
117,think,132
118,right,130
119,whom,122
120,because,121
121,up,119
122,great,119
123,sort,118
124,never,118
125,quite,117
126,therefore,116
127,nothing,115
128,two,115
129,either,114
130,better,113
131,unjust,112
132,reason,112
133,injustice,112
134,saying,111
135,others,110
136,best,110
137,am,108
138,opinion,108
139,question,107
140,having,107
141,city,107
142,every,107
143,made,107
144,suppose,106
145,time,106
146,glaucon,106
147,far,106
148,both,106
149,take,105
150,ought,104
151,thing,99
152,upon,99
153,mind,98
154,art,97
155,again,96
156,why,95
157,after,95
158,yet,95
159,order,93
160,part,92
161,nor,91
162,whole,90
163,does,90
164,gods,89
165,neither,89
166,too,88
167,power,86
168,always,85
169,use,84
170,able,84
171,manner,84
172,much,83
173,even,83
174,virtue,81
175,under,81
176,principle,81
177,world,81
178,go,80
179,body,80
180,themselves,80
181,words,80
182,guardians,79
183,might,78
184,place,77
185,rather,77
186,over,77
187,still,77
188,ever,77
189,philosophy,76
190,friend,75
191,answer,75
192,anything,75
