,word,freq
1,and,627
2,the,579
3,i,533
4,to,446
5,you,391
6,of,354
7,that,289
8,a,267
9,not,257
10,is,253
11,in,225
12,d,215
13,my,209
14,it,198
15,caesar,190
16,me,188
17,he,177
18,for,176
19,him,166
20,this,166
21,will,163
22,brutus,161
23,his,157
24,bru,153
25,with,150
26,your,149
27,haue,148
28,be,147
29,but,141
30,so,139
31,as,133
32,what,129
33,shall,125
34,do,122
35,thou,115
36,all,109
37,are,109
38,cassi,107
39,then,107
40,by,100
41,we,95
42,our,93
43,no,93
44,cassius,85
45,if,84
46,did,82
47,on,82
48,antony,75
49,come,74
50,let,71
51,good,71
52,o,71
53,know,70
54,men,69
55,was,67
56,when,67
57,they,65
58,enter,64
59,vs,63
60,now,63
61,their,61
62,them,60
63,at,59
64,man,59
65,heere,59
66,am,57
67,thy,56
68,thee,55
69,there,54
70,from,49
71,well,48
72,ant,48
73,s,48
74,vpon,48
75,which,47
76,day,46
77,or,44
78,lord,44
79,would,44
80,why,43
81,night,42
82,should,42
83,yet,42
84,some,41
85,go,41
86,selfe,40
87,like,39
88,noble,39
89,caes,39
90,these,39
91,st,39
92,tell,38
93,cask,38
94,caesars,38
95,heare,38
96,rome,38
97,may,38
98,such,37
99,brut,37
100,see,37
101,say,37
102,must,36
103,how,35
104,were,35
105,hath,35
106,giue,35
107,stand,35
108,speake,35
109,one,34
110,loue,34
111,an,34
112,more,34
113,caska,33
114,where,33
115,who,32
116,vp,32
117,doth,30
118,too,30
119,death,29
120,feare,29
121,much,29
122,hand,29
123,luc,28
124,euery,28
125,most,28
126,out,28
127,had,27
128,any,27
129,looke,27
130,lucius,26
131,cinna,26
132,make,26
133,great,26
134,messala,25
135,friends,25
136,gods,25
137,time,25
138,art,25
139,blood,24
140,nor,24
141,octauius,23
142,heart,23
143,take,23
144,done,23
145,titinius,23
146,tis,23
147,beare,23
148,downe,23
149,sir,23
150,thinke,22
151,mine,22
152,friend,22
153,exeunt,22
154,till,22
155,hee,21
156,cas,21
157,wrong,20
158,marke,20
159,word,20
160,messa,19
161,2,19
162,1,19
163,forth,19
164,fire,19
165,thing,19
166,leaue,19
167,off,19
168,about,19
169,can,19
170,octa,18
171,stay,18
172,place,18
173,romans,18
174,world,18
175,true,18
176,could,18
177,againe,18
178,away,18
179,liue,18
180,l,17
181,euen,17
182,neuer,17
183,bid,17
184,peace,17
185,decius,17
186,finde,17
187,capitoll,17
188,made,17
189,things,17
190,euer,17
191,4,16
192,3,16
193,por,16
194,wee,16
195,thus,16
196,name,16
197,spirit,16
198,put,16
199,house,15
200,dead,15
201,cause,15
202,better,15
203,morrow,15
204,hands,15
205,shew,15
206,part,15
207,comes,15
208,many,15
209,lucillius,14
210,mark,14
211,honourable,14
212,dye,14
213,boy,14
214,vnto,14
215,doe,14
216,roman,14
217,hast,14
218,himselfe,14
219,eyes,14
220,once,14
221,set,14
222,way,14
223,follow,14
224,into,14
225,caius,13
226,within,13
227,metellus,13
228,sword,13
229,body,13
230,hold,13
231,might,13
232,other,13
233,therefore,13
234,face,13
235,portia,13
236,else,13
237,ile,13
238,fellow,13
239,answer,13
240,pindarus,12
241,mighty,12
242,cato,12
243,brother,12
244,first,12
245,exit,12
246,fell,12
247,backe,12
248,words,12
249,life,12
250,very,12
251,before,12
252,march,12
253,run,12
254,hearts,12
255,bad,12
256,best,12
257,home,12
258,hence,12
259,philippi,11
260,master,11
261,publius,11
262,ser,11
263,bring,11
264,trebonius,11
265,beares,11
266,send,11
267,meane,11
268,owne,11
269,crowne,11
270,selues,11
271,sicke,11
272,honor,11
273,cry,11
274,still,11
275,sooth,11
276,after,11
277,cicero,11
278,flye,11
279,fall,11
280,her,11
281,get,11
282,pardon,10
283,call,10
284,two,10
285,strong,10
286,while,10
287,full,10
288,farewell,10
289,sure,10
290,rest,10
291,meete,10
292,nothing,10
293,yours,10
294,vnder,10
295,generall,10
296,people,10
