,word,freq
1,the,650
2,and,546
3,to,384
4,i,348
5,of,338
6,a,241
7,that,238
8,d,224
9,you,206
10,my,203
11,in,201
12,is,188
13,not,165
14,it,161
15,with,153
16,his,146
17,macb,137
18,be,137
19,s,131
20,your,126
21,our,123
22,haue,122
23,but,120
24,what,118
25,me,113
26,for,112
27,he,112
28,this,104
29,all,103
30,so,96
31,him,90
32,thou,90
33,as,89
34,we,83
35,enter,81
36,which,80
37,are,73
38,will,72
39,they,70
40,shall,68
41,no,67
42,then,63
43,on,63
44,their,62
45,vpon,62
46,macbeth,62
47,do,61
48,thee,61
49,macd,58
50,yet,57
51,th,57
52,vs,57
53,from,57
54,thy,56
55,king,55
56,come,54
57,would,53
58,now,53
59,there,53
60,hath,52
61,at,52
62,more,51
63,who,50
64,was,49
65,rosse,49
66,good,49
67,by,49
68,lady,48
69,them,48
70,t,48
71,time,46
72,if,45
73,her,43
74,like,43
75,let,42
76,did,42
77,st,42
78,should,42
79,say,41
80,when,40
81,banquo,39
82,make,39
83,were,39
84,where,39
85,lord,38
86,o,38
87,doe,38
88,tis,37
89,or,37
90,must,36
91,1,36
92,feare,35
93,may,35
94,know,35
95,ile,35
96,selfe,35
97,done,35
98,how,34
99,night,34
100,wife,34
101,had,34
102,man,34
103,well,33
104,one,32
105,why,32
106,too,32
107,see,31
108,great,31
109,am,30
110,exeunt,30
111,sir,29
112,speake,29
113,an,28
114,lenox,28
115,out,27
116,heere,26
117,vp,26
118,mine,26
119,can,26
120,thane,25
121,mal,25
122,blood,24
123,those,24
124,such,24
125,banq,24
126,giue,24
127,looke,24
128,nor,24
129,hand,23
130,sleepe,23
131,most,23
132,things,23
133,these,23
134,scena,22
135,2,22
136,la,21
137,before,21
138,cawdor,21
139,here,21
140,againe,21
141,doct,20
142,life,20
143,death,20
144,cannot,20
145,till,20
146,nature,20
147,3,20
148,still,19
149,loue,19
150,day,19
151,art,19
152,macduffe,18
153,heare,18
154,take,18
155,heart,18
156,ha,18
157,both,18
158,shew,18
159,sey,17
160,some,17
161,she,17
162,owne,17
163,way,17
164,call,17
165,though,17
166,men,17
167,within,17
168,son,16
169,father,16
170,could,16
171,poore,16
172,put,16
173,knock,16
174,euery,16
175,nothing,16
176,strange,16
177,worthy,16
178,malc,15
179,borne,15
180,heauen,15
181,thought,15
182,downe,15
183,other,15
184,goe,15
185,name,15
186,bloody,15
187,ayre,15
188,ere,15
189,deed,14
190,euer,14
191,dead,14
192,murther,14
193,whose,14
194,wee,14
195,without,14
196,against,14
197,god,14
198,leaue,14
199,haile,14
200,sword,13
201,dare,13
202,neuer,13
203,exit,13
204,made,13
205,malcolme,13
206,thinke,13
207,pray,13
208,none,13
209,much,13
210,each,13
211,about,13
212,thus,13
213,noble,13
214,comes,13
215,cry,13
216,new,13
217,hee,13
218,three,13
219,first,12
220,bed,12
221,keepe,12
222,eye,12
223,euen,12
224,onely,12
225,beare,12
226,into,12
227,honor,12
228,scotland,12
229,hands,12
230,gent,11
231,wood,11
232,go,11
233,fight,11
234,stand,11
235,seruant,11
236,morrow,11
237,hell,11
238,else,11
239,hence,11
240,hold,11
241,full,11
242,welcome,11
243,whom,11
244,face,11
245,finde,11
246,away,11
247,liues,11
248,kings,11
249,once,11
250,peace,11
251,liue,11
252,hang,11
253,very,11
254,beene,11
255,eyes,11
256,double,11
257,two,11
258,place,11
259,woman,10
260,seyward,10
261,l,10
262,flye,10
263,old,10
264,murth,10
265,thoughts,10
266,duncan,10
267,being,10
268,friends,10
269,houre,10
270,sight,10
271,grace,10
272,mac,10
273,thine,10
274,words,10
275,tell,10
276,tyrant,9
277,fleans,9
278,many,9
279,lye,9
280,minde,9
281,last,9
282,bring,9
283,off,9
284,macduff,9
285,businesse,9
286,tongue,9
287,false,9
288,light,9
289,further,9
290,highnesse,9
291,lesse,9
292,vnder,9
293,rest,9
294,hope,9
295,royall,9
296,nights,9
297,house,9
298,get,9
299,head,9
300,report,9
301,thunder,9
302,dunsinane,8
303,doctor,8
304,sonne,8
305,better,8
306,england,8
307,any,8
308,lords,8
309,best,8
310,knocking,8
311,bell,8
312,drinke,8
313,heard,8
314,does,8
315,dayes,8
316,almost,8
317,rather,8
318,sorrow,8
319,knowne,8
320,thing,8
321,enough,8
322,feares,8
323,giuen,8
324,might,8
325,true,8
326,re,8
327,children,8
328,truth,8
329,earth,8
330,gone,8
331,hast,8
332,present,8
333,fell,8
334,himselfe,8
335,set,8
336,witches,8
337,knowes,7
338,mur,7
339,power,7
340,gracious,7
341,sit,7
342,fled,7
343,kill,7
344,ban,7
345,oh,7
346,daggers,7
347,while,7
348,trouble,7
349,goes,7
350,shake,7
351,comming,7
352,desire,7
353,bid,7
354,throw,7
355,breath,7
356,seeme,7
357,sisters,7
358,master,7
359,fortune,7
360,state,7
361,donalbaine,7
362,anon,7
363,meet,7
364,seyton,6
365,y,6
366,tyrants,6
367,wisedome,6
368,send,6
369,issue,6
370,neere,6
371,colours,6
372,rise,6
373,thence,6
374,command,6
375,english,6
376,faith,6
377,little,6
378,hearke,6
379,world,6
380,since,6
381,chamber,6
382,late,6
383,gentle,6
384,makes,6
385,natures,6
386,please,6
387,messenger,6
388,fate,6
389,round,6
390,powre,6
391,lay,6
392,mortall,6
393,after,6
394,lyes,6
395,fall,6
396,thanes,6
397,themselues,6
398,left,6
399,dy,6
400,deepe,6
401,forth,6
402,word,6
403,stay,6
404,withall,6
405,shalt,6
406,seene,6
407,doth,6
408,vse,6
409,cold,6
410,angus,6
411,helpe,6
412,another,6
413,whence,6
414,attendants,6
415,alarum,6
416,through,6
417,faire,6
418,lost,6
419,ment,5
420,soldiers,5
421,mother,5
422,cauldron,5
423,country,5
424,answer,5
425,len,5
426,backe,5
427,health,5
428,worst,5
429,cause,5
430,graue,5
431,bene,5
432,meanes,5
433,slaine,5
434,certaine,5
435,horses,5
436,selues,5
437,said,5
438,porter,5
439,faces,5
440,feast,5
441,amen,5
442,em,5
443,fire,5
444,bold,5
445,horror,5
446,strike,5
447,pale,5
448,strong,5
449,returne,5
450,pleasure,5
451,hostesse,5
452,innocent,5
453,darke,5
454,ring,5
455,purpose,5
456,fill,5
457,eare,5
458,spirits,5
459,high,5
460,attend,5
461,came,5
462,perfect,5
463,care,5
464,sonnes,5
465,hither,5
466,safe,5
467,duties,5
468,receiue,5
469,part,5
470,saw,5
471,flourish,5
472,free,5
473,toward,5
474,braine,5
475,chance,5
476,honest,5
477,harme,5
478,crowne,5
479,home,5
480,thankes,5
481,reason,5
482,takes,5
483,water,5
484,stands,5
485,indeed,5
486,sound,5
487,women,5
488,farre,5
489,charme,5
490,thrice,5
491,thither,5
492,husband,5
493,tertia,5
494,title,5
495,former,5
496,ten,5
497,point,5
498,terrible,5
499,seemes,5
500,ouer,5
501,comfort,5
502,toth,5
503,bad,5
504,together,5
505,friend,5
506,meeting,5
507,secunda,5
508,foule,5
509,prima,5
510,actus,5
511,alarums,4
512,byrnane,4
513,griefe,4
514,villaine,4
515,doubt,4
516,mes,4
517,traitor,4
518,speak,4
519,hart,4
520,childe,4
521,appar,4
522,speech,4
523,blacke,4
524,bubble,4
525,burne,4
526,scorne,4
527,yong,4
528,moue,4
529,worse,4
530,behold,4
531,diuell,4
532,sweet,4
533,often,4
534,cheere,4
535,whole,4
536,fit,4
537,cut,4
538,scaena,4
539,note,4
540,touch,4
541,shee,4
542,court,4
543,flight,4
544,soules,4
545,keepes,4
546,something,4
547,loues,4
548,soule,4
549,enemie,4
550,sure,4
551,fife,4
552,eate,4
553,warre,4
554,swift,4
555,horse,4
556,worke,4
557,murtherers,4
558,violent,4
559,liu,4
560,cruell,4
561,alas,4
562,broke,4
563,young,4
564,long,4
565,remember,4
566,gate,4
567,least,4
568,shame,4
569,knocke,4
570,bleed,4
571,meane,4
572,need,4
573,laugh,4
574,second,4
575,dye,4
576,open,4
577,owle,4
578,walke,4
579,watch,4
580,worth,4
581,spend,4
582,giues,4
583,fleance,4
584,don,4
585,performe,4
586,le,4
587,prythee,4
588,sides,4
589,end,4
590,towards,4
591,graces,4
592,breed,4
593,heauens,4
594,castle,4
595,feele,4
596,fatall,4
597,golden,4
598,play,4
599,whiles,4
600,alone,4
601,macbeths,4
602,black,4
603,approach,4
604,hide,4
605,seruants,4
606,throne,4
607,seruice,4
608,due,4
609,dearest,4
610,de,4
611,spoke,4
612,quarta,4
613,wrought,4
614,honors,4
615,yeeld,4
616,ill,4
617,gentlemen,4
618,thanke,4
619,act,4
620,promis,4
621,paines,4
622,glamys,4
623,labour,4
624,whether,4
625,heauie,4
626,deuill,4
627,pay,4
628,thanks,4
629,sent,4
630,ang,4
631,successe,4
632,newes,4
633,went,4
634,vanish,4
635,owe,4
636,hauing,4
637,start,4
638,glamis,4
639,question,4
640,drumme,4
641,drum,4
642,times,4
643,nine,4
644,mans,4
645,blow,4
646,winde,4
647,pronounce,4
648,bosome,4
649,generall,4
650,thousand,4
651,arme,4
652,people,4
653,become,4
654,trust,4
655,valour,4
656,valiant,4
657,stood,4
658,gainst,4
659,souldier,4
660,souldiers,3
661,ser,3
662,marching,3
663,cath,3
664,lad,3
665,fiend,3
666,front,3
667,pull,3
668,affraid,3
669,remoue,3
670,disease,3
671,cure,3
672,queene,3
673,fast,3
674,pretty,3
675,ones,3
676,birds,3
677,traitors,3
678,foole,3
679,babes,3
680,damn,3
681,tree,3
682,castles,3
683,boyle,3
684,aboue,3
685,warlike,3
686,holy,3
687,deny,3
688,right,3
689,musicke,3
690,hopes,3
691,others,3
692,hecat,3
693,secret,3
694,goodnight,3
695,growes,3
696,sights,3
697,shadow,3
698,aliue,3
699,deere,3
700,lacke,3
701,murthers,3
702,person,3
703,countries,3
704,twenty,3
705,bound,3
706,table,3
707,maiesty,3
708,iust,3
709,applaud,3
710,close,3
711,got,3
712,sundry,3
713,drop,3
714,file,3
715,yours,3
716,patience,3
717,line,3
718,pallace,3
719,wish,3
720,ride,3
721,supper,3
722,speeches,3
723,roote,3
724,weyard,3
725,bones,3
726,body,3
727,scone,3
728,already,3
729,obedience,3
730,duncans,3
731,vnnaturall,3
732,mallice,3
733,suffer,3
734,foot,3
735,spoken,3
736,look,3
737,moment,3
738,found,3
739,meere,3
740,sprights,3
741,awake,3
742,remembrance,3
743,been,3
744,tooke,3
745,beleeue,3
746,dis,3
747,port,3
748,gods,3
749,treason,3
750,equiuocator,3
751,easie,3
752,weare,3
753,making,3
754,wash,3
755,sickly,3
756,strength,3
757,therefore,3
758,sleep,3
759,wayes,3
760,throat,3
761,blessing,3
762,wherefore,3
763,blesse,3
764,prayers,3
765,wake,3
766,noyse,3
767,misse,3
768,hoa,3
769,groomes,3
770,m,3
771,knell,3
772,rings,3
773,firme,3
774,ghost,3
775,halfe,3
776,draw,3
777,dagger,3
778,ready,3
779,summons,3
780,boy,3
781,torch,3
782,mock,3
783,mark,3
784,wine,3
785,hard,3
786,courage,3
787,faile,3
788,breake,3
789,dares,3
790,affear,3
791,soone,3
792,cast,3
793,ore,3
794,babe,3
795,taking,3
796,office,3
797,bin,3
798,duncane,3
799,doore,3
800,shut,3
801,quickly,3
802,stage,3
803,host,3
804,broad,3
805,sometime,3
806,bird,3
807,guest,3
808,sences,3
809,hoboyes,3
810,sexta,3
811,dispatch,3
812,womans,3
813,top,3
814,mad,3
815,crown,3
816,ambition,3
817,catch,3
818,milke,3
819,greatnesse,3
820,met,3
821,quinta,3
822,bee,3
823,shine,3
824,seeke,3
825,wing,3
826,absolute,3
827,mindes,3
828,twere,3
829,liege,3
830,hearts,3
831,turne,3
832,leysure,3
833,single,3
834,horrible,3
835,horrid,3
836,instruments,3
837,winne,3
838,besides,3
839,vnto,3
840,loose,3
841,thick,3
842,contend,3
843,same,3
844,charge,3
845,happy,3
846,greater,3
847,hayle,3
848,partner,3
849,ye,3
850,hereafter,3
851,lips,3
852,wilde,3
853,land,3
854,sea,3
855,weyward,3
856,kinde,3
857,mouncht,3
858,spirit,3
859,dismall,3
860,gashes,3
861,wounds,3
862,charg,3
863,began,3
864,vantage,3
865,norweyan,3
866,iustice,3
867,marke,3
868,seem,3
869,gentleman,3
870,slaue,3
871,fac,3
872,execution,3
873,damned,3
874,kernes,3
875,cap,3
876,didst,3
877,knowledge,3
878,newest,3
879,sunne,3
880,paid,2
881,fighting,2
882,beard,2
883,famine,2
884,birnane,2
885,minister,2
886,patient,2
887,armor,2
888,confirm,2
889,purge,2
890,march,2
891,fury,2
892,seywards,2
893,vnkle,2
894,malcolm,2
895,cathnes,2
896,menteth,2
897,troubles,2
898,abroad,2
899,doo,2
900,strongly,2
901,spot,2
902,walking,2
903,field,2
904,physicke,2
905,forgiue,2
906,swords,2
907,med,2
908,ne,2
909,relate,2
910,slaughter,2
911,maine,2
912,age,2
913,smile,2
914,dispaire,2
915,wretched,2
916,foorth,2
917,setting,2
918,truly,2
919,strangers,2
920,brest,2
921,fare,2
922,feet,2
923,poure,2
924,seuerall,2
925,auarice,2
926,vntimely,2
927,tyranny,2
928,lust,2
929,euils,2
930,goodnesse,2
931,precious,2
932,wear,2
933,recoyle,2
934,lambe,2
935,offer,2
936,perchance,2
937,syllable,2
938,weepe,2
939,beate,2
940,swearers,2
941,wit,2
942,nay,2
943,wilt,2
944,longer,2
945,fly,2
946,edge,2
947,firstlings,2
948,infected,2
949,accursed,2
950,haire,2
951,seare,2
952,glasse,2
953,noise,2
954,sinkes,2
955,curse,2
956,reigne,2
957,byrnan,2
958,forrest,2
959,impresse,2
960,hill,2
961,frets,2
962,brow,2
963,lies,2
964,eares,2
965,descends,2
966,beware,2
967,vnknowne,2
968,apparation,2
969,sicken,2
970,heads,2
971,confound,2
972,coole,2
973,adde,2
974,thicke,2
975,liuer,2
976,toyle,2
977,wormes,2
978,charmed,2
979,caldron,2
980,cries,2
981,angell,2
982,caution,2
983,birth,2
984,disgrace,2
985,anger,2
986,pious,2
987,greeue,2
988,donalbane,2
989,walk,2
990,strangely,2
991,c,2
992,sing,2
993,song,2
994,ground,2
995,beside,2
996,prouide,2
997,ends,2
998,harmes,2
999,charmes,2
1000,hec,2
1001,wants,2
1002,season,2
1003,causes,2
1004,betimes,2
1005,morning,2
1006,brought,2
1007,trees,2
1008,order,2
1009,cheekes,2
1010,naturall,2
1011,baby,2
1012,mee,2
1013,protest,2
1014,custome,2
1015,dost,2
1016,push,2
1017,weale,2
1018,fie,2
1019,folly,2
1020,story,2
1021,led,2
1022,stuffe,2
1023,feed,2
1024,passion,2
1025,lockes,2
1026,canst,2
1027,promise,2
1028,blame,2
1029,sits,2
1030,meate,2
1031,sawce,2
1032,sold,2
1033,venom,2
1034,ditch,2
1035,doubts,2
1036,sawcy,2
1037,measure,2
1038,mirth,2
1039,large,2
1040,mingle,2
1041,reuenge,2
1042,mile,2
1043,direction,2
1044,needes,2
1045,begin,2
1046,bond,2
1047,teare,2
1048,pittifull,2
1049,hums,2
1050,bat,2
1051,bright,2
1052,rugged,2
1053,extasie,2
1054,gayne,2
1055,tooth,2
1056,danger,2
1057,remaines,2
1058,snake,2
1059,regard,2
1060,fancies,2
1061,ioy,2
1062,destruction,2
1063,nought,2
1064,madame,2
1065,abide,2
1066,straight,2
1067,fathers,2
1068,absence,2
1069,require,2
1070,aduise,2
1071,bare,2
1072,minute,2
1073,distance,2
1074,spight,2
1075,bosomes,2
1076,manhood,2
1077,station,2
1078,according,2
1079,past,2
1080,common,2
1081,eternall,2
1082,succeeding,2
1083,plac,2
1084,commend,2
1085,aduice,2
1086,presence,2
1087,omnes,2
1088,foes,2
1089,adieu,2
1090,wel,2
1091,cosin,2
1092,nam,2
1093,soueraignty,2
1094,known,2
1095,ross,2
1096,kisse,2
1097,troubled,2
1098,dreadfull,2
1099,houres,2
1100,lighted,2
1101,smiles,2
1102,mens,2
1103,safer,2
1104,ireland,2
1105,manly,2
1106,scruples,2
1107,seize,2
1108,hid,2
1109,ours,2
1110,tongues,2
1111,trade,2
1112,breach,2
1113,gash,2
1114,run,2
1115,loyall,2
1116,temp,2
1117,amaz,2
1118,wise,2
1119,pillowes,2
1120,stopt,2
1121,donal,2
1122,drawne,2
1123,deare,2
1124,woe,2
1125,graues,2
1126,destroy,2
1127,confusion,2
1128,fellow,2
1129,delight,2
1130,timely,2
1131,stirring,2
1132,shift,2
1133,leaues,2
1134,prouokes,2
1135,lecherie,2
1136,painting,2
1137,nose,2
1138,marry,2
1139,goose,2
1140,taylor,2
1141,scale,2
1142,enow,2
1143,expectation,2
1144,key,2
1145,gowne,2
1146,red,2
1147,cleane,2
1148,painted,2
1149,sleeping,2
1150,carry,2
1151,witnesse,2
1152,chiefe,2
1153,course,2
1154,sore,2
1155,deeds,2
1156,consider,2
1157,lodg,2
1158,sorry,2
1159,attempt,2
1160,awak,2
1161,afraid,2
1162,stones,2
1163,moues,2
1164,pace,2
1165,howle,2
1166,wolfe,2
1167,heccats,2
1168,abuse,2
1169,dreames,2
1170,wicked,2
1171,blade,2
1172,fooles,2
1173,going,2
1174,heat,2
1175,serue,2
1176,content,2
1177,kind,2
1178,offices,2
1179,repose,2
1180,cursed,2
1181,mercifull,2
1182,clock,2
1183,moone,2
1184,show,2
1185,clamor,2
1186,sleepie,2
1187,guilt,2
1188,inuite,2
1189,asleepe,2
1190,sticking,2
1191,braines,2
1192,tender,2
1193,cat,2
1194,esteeme,2
1195,coward,2
1196,greene,2
1197,slept,2
1198,bought,2
1199,ask,2
1200,supt,2
1201,has,2
1202,pricke,2
1203,drowne,2
1204,teares,2
1205,naked,2
1206,pitty,2
1207,trumpet,2
1208,angels,2
1209,cleere,2
1210,murtherer,2
1211,subiect,2
1212,poyson,2
1213,ingredience,2
1214,schoole,2
1215,septima,2
1216,continue,2
1217,theirs,2
1218,spurre,2
1219,maiestie,2
1220,teach,2
1221,haunt,2
1222,temple,2
1223,summer,2
1224,seat,2
1225,torches,2
1226,cleare,2
1227,sway,2
1228,soueraigne,2
1229,serpent,2
1230,flower,2
1231,instant,2
1232,beyond,2
1233,knife,2
1234,keene,2
1235,wait,2
1236,sightlesse,2
1237,ministers,2
1238,gall,2
1239,hit,2
1240,betweene,2
1241,toe,2
1242,entrance,2
1243,rauen,2
1244,message,2
1245,fellowes,2
1246,preparation,2
1247,mess,2
1248,vndone,2
1249,holily,2
1250,highly,2
1251,humane,2
1252,farewell,2
1253,ignorant,2
1254,deliuer,2
1255,wonder,2
1256,kinsman,2
1257,banquet,2
1258,hearing,2
1259,ioyfull,2
1260,starres,2
1261,cumberland,2
1262,prince,2
1263,estate,2
1264,kinsmen,2
1265,plant,2
1266,begun,2
1267,doing,2
1268,deseru,2
1269,hadst,2
1270,slow,2
1271,sinne,2
1272,ow,2
1273,became,2
1274,pardon,2
1275,weigh,2
1276,reade,2
1277,leafe,2
1278,forgotten,2
1279,cleaue,2
1280,stirre,2
1281,rapt,2
1282,vnfixe,2
1283,image,2
1284,imperiall,2
1285,told,2
1286,consequence,2
1287,betray,2
1288,truths,2
1289,darknesse,2
1290,trusted,2
1291,gaue,2
1292,greatest,2
1293,confess,2
1294,treasons,2
1295,wracke,2
1296,beares,2
1297,iudgement,2
1298,robes,2
1299,addition,2
1300,earnest,2
1301,defence,2
1302,kingdomes,2
1303,post,2
1304,tale,2
1305,findes,2
1306,prayses,2
1307,receiu,2
1308,root,2
1309,eaten,2
1310,corporall,2
1311,whither,2
1312,stop,2
1313,beleefe,2
1314,prosperous,2
1315,lesser,2
1316,hate,2
1317,begge,2
1318,grow,2
1319,seedes,2
1320,fantasticall,2
1321,finger,2
1322,wither,2
1323,wound,2
1324,pine,2
1325,wearie,2
1326,forbid,2
1327,neyther,2
1328,tiger,2
1329,cryes,2
1330,fed,2
1331,sister,2
1332,greet,2
1333,rebellious,2
1334,numbers,2
1335,norway,2
1336,banners,2
1337,lookes,2
1338,stroakes,2
1339,sooth,2
1340,lyon,2
1341,yes,2
1342,armes,2
1343,heeles,2
1344,arm,2
1345,sooner,2
1346,discomfort,2
1347,spring,2
1348,cousin,2
1349,battlements,2
1350,farwell,2
1351,passage,2
1352,steele,2
1353,deserues,2
1354,weake,2
1355,quarry,2
1356,rebell,2
1357,cling,2
1358,spent,2
1359,doubtfull,2
1360,braue,2
1361,fought,2
1362,reuolt,2
1363,bleeding,2
1364,filthie,2
1365,calls,2
1366,heath,2
1367,wonne,2
1368,lightning,2
1369,tragedie,2
1370,finis,1
1371,butcher,1
1372,producing,1
1373,watchfull,1
1374,snares,1
1375,exil,1
1376,calling,1
1377,newly,1
1378,planted,1
1379,earles,1
1380,henceforth,1
1381,reckon,1
1382,expence,1
1383,alowd,1
1384,voyces,1
1385,minds,1
1386,salutation,1
1387,pearle,1
1388,compast,1
1389,vsurpers,1
1390,newer,1
1391,score,1
1392,parted,1
1393,knoll,1
1394,fairer,1
1395,haires,1
1396,soldier,1
1397,hurts,1
1398,measur,1
1399,vnshrinking,1
1400,prowesse,1
1401,debt,1
1402,missing,1
1403,cheapely,1
1404,arriu,1
1405,retreat,1
1406,shield,1
1407,try,1
1408,oppos,1
1409,rabbles,1
1410,baited,1
1411,malcolmes,1
1412,writ,1
1413,pole,1
1414,monsters,1
1415,rarer,1
1416,gaze,1
1417,sence,1
1418,palter,1
1419,beleeu,1
1420,fiends,1
1421,iugling,1
1422,cow,1
1423,tels,1
1424,ript,1
1425,womb,1
