,word,freq
1,the,4195
2,and,2976
3,i,2849
4,of,2642
5,to,2094
6,my,1776
7,a,1391
8,in,1128
9,was,1021
10,that,1017
11,me,867
12,but,687
13,had,686
14,with,667
15,he,608
16,you,574
17,which,558
18,not,556
19,it,547
20,his,535
21,as,528
22,for,498
23,by,461
24,on,460
25,this,402
26,from,385
27,her,373
28,have,365
29,be,360
30,when,328
31,at,317
32,were,308
33,is,307
34,she,255
35,your,252
36,him,222
37,an,211
38,so,210
39,they,210
40,one,205
41,all,200
42,could,197
43,if,194
44,will,194
45,been,190
46,their,186
47,would,184
48,or,177
49,are,176
50,who,174
51,we,174
52,no,172
53,more,165
54,now,155
55,these,154
56,should,153
57,yet,152
58,some,147
59,before,146
60,can,139
61,man,137
62,myself,136
63,father,134
64,what,132
65,them,127
66,our,126
67,upon,126
68,am,126
69,into,124
70,only,123
71,its,123
72,did,119
73,do,118
74,life,115
75,than,110
76,then,109
77,every,109
78,might,108
79,first,108
80,own,107
81,shall,105
82,eyes,104
83,said,102
84,may,99
85,time,98
86,being,97
87,saw,94
88,even,94
89,how,94
90,towards,94
91,night,93
92,elizabeth,92
93,those,91
94,most,88
95,found,87
96,such,87
97,mind,85
98,ever,85
99,any,84
100,again,83
101,day,82
102,heart,81
103,there,81
104,whom,80
105,felt,80
106,death,79
107,after,78
108,where,77
109,other,76
110,feelings,76
111,very,75
112,thought,74
113,dear,72
114,friend,71
115,soon,71
116,made,70
117,up,70
118,never,69
119,while,68
120,still,68
121,many,68
122,during,67
123,passed,67
124,also,66
125,miserable,65
126,thus,65
127,place,64
128,must,64
129,same,63
130,like,63
131,has,63
132,heard,62
133,few,61
134,became,61
135,us,60
136,sometimes,60
137,clerval,59
138,love,59
139,human,58
140,little,58
141,over,58
142,appeared,57
143,indeed,56
144,justine,55
145,often,55
146,friends,54
147,words,54
148,misery,54
149,country,54
150,although,53
151,nature,53
152,about,53
153,until,52
154,cottage,51
155,among,51
156,several,51
157,felix,50
158,hope,50
159,away,50
160,old,50
161,see,50
162,great,50
163,whose,50
164,feel,50
165,despair,49
166,know,49
167,happiness,49
168,return,49
169,well,49
170,long,48
171,chapter,48
172,days,47
173,another,47
174,through,47
175,happy,46
176,voice,46
177,horror,45
178,poor,45
179,world,45
180,sun,45
181,scene,44
182,alone,44
183,creature,44
184,men,44
185,years,44
186,much,44
187,ice,43
188,came,42
189,joy,42
190,light,42
191,house,40
192,affection,40
193,fear,40
194,new,39
195,countenance,39
196,morning,39
197,out,39
198,nothing,39
199,months,39
200,near,39
201,part,39
202,power,39
203,far,39
204,almost,38
205,hands,38
206,entered,38
207,two,38
208,thoughts,38
209,soul,38
