,word,freq
1,the,8933
2,and,7280
3,of,4365
4,to,4190
5,a,4159
6,he,3321
7,was,3057
8,in,2513
9,it,2354
10,had,2237
11,that,1890
12,his,1674
13,they,1484
14,for,1415
15,with,1308
16,would,1207
17,him,1184
18,jurgis,1117
19,not,997
20,were,996
21,there,996
22,all,982
23,as,943
24,she,815
25,be,800
26,at,800
27,her,775
28,one,771
29,but,768
30,them,754
31,out,715
32,you,714
33,then,654
34,this,644
35,so,643
36,on,638
37,could,633
38,i,613
39,by,603
40,been,566
41,have,554
42,up,536
43,who,522
44,no,492
45,their,491
46,when,488
47,man,481
48,an,436
49,is,422
50,or,418
51,into,418
52,which,415
53,from,409
54,upon,402
55,about,393
56,said,367
57,what,359
58,time,358
59,if,347
60,came,341
61,do,340
62,men,340
63,now,325
64,did,322
65,work,316
66,some,308
67,little,296
68,other,292
69,more,288
70,day,288
71,get,279
72,two,275
73,went,275
74,again,271
75,place,263
76,only,261
77,like,261
78,come,256
79,made,254
80,where,253
81,go,240
82,every,239
83,after,236
84,before,235
85,home,229
86,ona,225
87,might,223
88,n't,214
89,night,214
90,marija,213
91,here,212
92,half,212
93,himself,209
94,over,207
95,long,204
96,down,204
97,any,202
98,got,200
99,see,199
100,never,193
101,these,192
102,back,188
103,old,183
104,how,182
105,away,178
106,are,172
107,off,168
108,way,167
109,another,165
110,will,164
111,too,164
112,me,163
113,house,162
114,money,161
115,dollars,157
116,room,157
117,people,153
118,even,152
119,its,150
120,make,149
121,three,147
122,than,145
123,each,144
124,very,143
125,good,142
126,such,141
127,know,139
128,life,137
129,while,135
130,great,134
131,new,132
132,first,132
133,through,131
134,things,131
135,put,130
136,nothing,130
137,saw,127
138,because,126
139,just,126
140,until,125
141,family,125
142,pay,124
143,once,124
144,thing,123
145,last,123
146,same,122
147,told,121
148,hands,121
149,children,120
150,elzbieta,119
151,much,119
152,eyes,118
153,hour,118
154,without,116
155,door,116
156,city,115
157,your,115
158,morning,114
159,yet,112
160,can,111
161,began,111
162,took,110
163,face,109
164,take,108
165,stood,107
166,also,106
167,we,105
168,end,105
169,five,105
170,knew,104
171,hundred,104
172,world,103
173,big,102
174,still,102
175,turned,102
176,own,99
177,well,98
178,found,96
179,enough,93
180,say,93
181,set,93
182,thought,93
183,ever,92
184,floor,92
185,sat,91
186,women,91
187,few,91
188,left,91
189,being,90
190,gave,89
191,week,89
192,hand,89
193,many,89
194,head,89
195,job,88
196,street,88
197,asked,87
198,keep,86
199,whole,86
200,has,86
201,my,85
202,should,85
203,help,85
204,however,84
205,must,84
206,worked,83
207,nearly,83
208,packingtown,82
209,rest,82
210,suddenly,82
211,tell,82
212,done,81
213,gone,80
214,poor,80
215,think,80
216,heard,79
217,find,79
218,country,79
219,most,79
220,cold,79
221,why,78
222,started,77
223,thousand,75
224,always,75
225,working,75
226,those,75
227,course,74
228,ten,74
229,days,74
230,yards,74
231,four,74
232,paid,73
233,anything,73
234,seemed,73
235,going,72
236,next,72
237,young,72
238,chicago,72
239,part,71
240,yes,70
241,full,70
242,year,70
243,black,70
244,woman,69
245,taken,69
246,far,69
247,voice,69
248,packers,68
249,give,68
250,look,68
251,called,67
252,feet,67
253,cried,65
254,years,65
255,something,64
256,perhaps,64
257,arm,63
258,almost,63
259,chance,62
260,right,62
261,corner,62
262,others,62
263,boss,61
264,twenty,61
265,lost,61
266,arms,61
267,hard,61
268,quite,61
269,matter,61
270,saloon,60
271,business,58
272,whom,58
273,run,58
274,cattle,57
275,party,57
276,antanas,57
277,under,57
278,union,57
279,try,56
280,cents,56
281,wild,55
282,drink,55
283,soul,55
284,lived,54
285,word,54
286,meant,54
287,let,54
288,themselves,54
289,finally,54
290,open,54
291,together,54
292,tried,53
293,kept,53
294,stand,53
295,since,53
296,durham,53
297,later,53
298,snow,53
299,hear,53
300,side,53
301,till,52
302,able,52
303,houses,52
304,hours,52
305,heart,52
306,making,52
307,against,52
308,beef,52
309,white,52
310,scully,51
311,fellow,51
312,lay,51
313,food,51
314,soon,51
315,fell,51
316,meat,51
317,brought,50
318,police,49
319,mind,49
320,answered,49
321,cut,49
322,given,49
323,really,49
324,rooms,49
325,girl,48
326,boy,48
327,sort,48
328,looked,48
329,herself,48
330,death,47
331,better,47
332,live,47
333,several,47
334,blood,47
335,understand,47
336,sometimes,46
337,labor,46
338,six,46
339,teta,46
340,between,46
341,child,46
342,best,46
343,winter,45
344,story,45
345,dollar,45
346,policeman,45
347,save,45
348,light,45
349,known,45
350,sir,44
351,human,44
352,explained,44
353,want,44
354,else,44
355,everything,44
356,packing,44
357,company,44
358,toward,44
359,hold,44
360,free,44
361,crowd,44
362,stopped,43
363,outside,43
364,dozen,43
365,water,43
366,power,43
367,red,43
368,killing,43
369,behind,43
370,evening,43
371,coming,43
372,meantime,43
373,our,42
374,sent,42
375,use,42
376,wanted,42
377,sure,42
378,late,42
379,longer,42
380,along,42
381,places,42
382,friends,42
383,o'clock,42
384,jail,41
385,stanislovas,41
386,walk,41
387,though,41
388,moment,41
389,trying,41
390,used,41
391,cry,41
392,round,41
393,stockyards,41
394,agony,40
395,fertilizer,40
396,caught,40
397,getting,40
398,turn,40
399,begin,40
400,car,40
401,machine,39
402,dead,39
403,friend,39
404,month,39
405,waiting,39
406,eat,39
407,second,39
408,person,39
409,often,39
410,opened,38
411,streets,38
412,fifteen,38
413,words,38
414,spent,38
415,strike,38
416,wife,38
417,tamoszius,38
418,whose,38
419,duane,37
420,felt,37
421,sleep,37
422,cars,37
423,agent,37
424,times,37
425,sight,37
426,among,37
427,learned,37
428,beginning,37
429,read,37
430,may,37
431,speak,37
432,having,37
433,ca,36
434,walked,36
435,baby,36
436,looking,36
437,met,36
438,us,36
439,mean,36
440,wages,36
441,less,36
442,bad,36
443,fire,36
444,name,36
445,ran,36
446,already,36
447,ole,35
448,dark,35
449,terror,35
450,master,35
451,america,35
452,fact,35
453,cent,34
454,bed,34
455,hot,34
456,front,34
457,building,34
458,fear,34
459,brown,34
460,passed,34
461,wonderful,34
462,seized,34
463,minutes,34
464,start,34
465,girls,34
466,near,34
467,district,34
468,hall,34
469,bank,33
470,socialist,33
471,trust,33
472,jonas,33
473,certain,33
474,seen,33
475,leave,33
476,thirty,33
477,alone,33
478,within,33
479,ground,33
480,ought,32
481,except,32
482,father,32
483,hardly,32
484,above,32
485,god,32
486,chapter,32
487,demanded,31
488,ask,31
489,stop,31
490,tears,31
491,shall,31
492,table,31
493,foot,31
494,workers,30
495,living,30
496,crowded,30
497,hogs,30
498,lie,30
499,railroad,30
500,cost,30
501,sold,30
502,happened,30
503,lose,30
504,law,30
505,besides,30
506,sit,30
507,seven,30
508,szedvilas,30
509,become,30
510,months,30
511,running,30
512,gotten,30
513,office,30
514,kitchen,30
515,least,30
516,task,30
517,freddie,29
518,doctor,29
519,talk,29
520,hope,29
521,newspapers,29
522,bought,29
523,fight,29
524,aniele,29
525,cruel,29
526,around,29
527,latter,29
528,simply,29
529,stay,29
530,love,29
531,breath,29
532,break,29
533,quarter,29
534,despair,28
535,meeting,28
536,thousands,28
537,nor,28
538,price,28
539,single,28
540,wait,28
541,scarcely,28
542,minute,28
543,answer,28
544,hic,27
545,vote,27
546,government,27
547,instant,27
548,summer,27
549,broken,27
550,line,27
551,earth,27
552,ago,27
553,rent,27
554,state,27
555,whether,27
556,doors,27
557,sick,27
558,past,27
559,strange,27
560,idea,27
561,change,27
562,factory,27
563,beds,27
564,air,27
565,beer,27
566,beneath,27
567,fifty,27
568,held,27
569,seeing,27
570,fingers,26
571,shook,26
572,reason,26
573,buy,26
574,rain,26
575,became,26
576,stared,26
577,believe,26
578,fighting,26
579,horrible,26
580,hundreds,26
581,watching,26
582,case,26
583,present,26
584,hungry,26
585,pain,26
586,staring,26
587,green,26
588,sound,26
589,added,26
590,ostrinski,25
591,die,25
592,struggle,25
593,warm,25
594,alive,25
595,bring,25
596,spoke,25
597,closed,25
598,rushed,25
599,huge,25
600,lard,25
601,filled,25
602,clothes,25
603,saying,25
604,keeper,25
605,bill,25
606,either,25
607,share,25
608,weeks,25
609,twice,25
610,top,25
611,tightly,25
612,ready,25
613,jokubas,25
614,trouble,25
615,station,25
616,fall,25
617,saloons,25
618,eight,25
619,high,25
620,fair,25
621,hunger,24
622,system,24
623,kind,24
624,class,24
625,hog,24
626,lady,24
627,farmer,24
628,talked,24
629,strong,24
630,means,24
631,worse,24
632,followed,24
633,hell,24
634,pale,24
635,body,24
636,mill,24
637,does,24
638,afternoon,24
639,million,24
640,chair,24
641,paper,24
642,wonder,24
643,madame,23
644,cell,23
645,society,23
646,broke,23
647,bread,23
648,pieces,23
649,papers,23
650,show,23
651,thoughts,23
652,need,23
653,realize,23
654,silence,23
655,twelve,23
656,expected,23
657,begun,23
658,jadvyga,23
659,itself,23
660,standing,23
661,true,23
662,call,23
663,platform,23
664,care,23
665,married,23
666,music,23
667,socialism,22
668,hey,22
669,honor,22
670,pockets,22
671,pocket,22
672,political,22
673,afraid,22
674,gang,22
675,afterward,22
676,shut,22
677,different,22
678,maybe,22
679,cans,22
680,whenever,22
681,feel,22
682,listen,22
683,blue,22
684,connor,21
685,department,21
686,election,21
687,horror,21
688,battle,21
689,sausage,21
690,doing,21
691,sudden,21
692,visitors,21
693,across,21
694,buildings,21
695,spring,21
696,rich,21
697,laughed,21
698,army,21
699,necessary,21
700,heavy,21
701,watch,21
702,instead,21
703,fine,21
704,merely,21
705,sell,21
706,thinking,21
707,members,21
708,third,21
709,number,21
710,during,21
711,hair,21
712,window,21
713,comrade,20
714,workingman,20
715,christmas,20
716,machines,20
717,entered,20
718,lawyer,20
719,truck,20
720,interest,20
721,killed,20
722,driven,20
723,forth,20
724,needed,20
725,kill,20
726,balance,20
727,died,20
728,son,20
729,deep,20
730,owned,20
731,rage,20
732,continued,20
733,rush,20
734,forever,20
735,spend,20
736,move,20
737,dance,20
738,store,20
739,boys,20
740,inside,20
741,frightened,20
742,small,20
743,understood,20
744,glad,20
745,hinds,19
746,oh,19
747,beast,19
748,dreadful,19
749,exclaimed,19
750,begging,19
751,covered,19
752,purpose,19
753,forelady,19
754,showed,19
755,throat,19
756,carried,19
757,board,19
758,smoke,19
759,miles,19
760,deal,19
761,account,19
762,glance,19
763,drinking,19
764,victim,19
765,early,19
766,seem,19
767,instance,19
768,clothing,19
769,holding,19
770,steps,19
771,laughing,19
772,fast,19
773,excitement,19
774,bartender,19
775,spirit,19
776,horse,19
777,close,19
778,mother,19
779,joy,19
780,avenue,19
781,proceeded,19
782,guv'ner,18
783,steel,18
784,glass,18
785,garret,18
786,misery,18
787,suffered,18
788,war,18
789,workingmen,18
