,word,freq
1,the,1437
2,and,1028
3,to,860
4,i,854
5,of,798
6,a,550
7,my,486
8,thou,485
9,oedipus,466
10,me,411
11,in,409
12,not,389
13,for,359
14,thy,339
15,that,313
16,but,306
17,is,297
18,he,295
19,thee,282
20,this,278
21,his,276
22,with,266
23,what,262
24,by,255
25,all,234
26,creon,234
27,chorus,207
28,no,205
29,on,205
30,who,200
31,it,198
32,as,186
33,or,186
34,from,183
35,if,182
36,will,157
37,him,157
38,o,154
39,be,153
40,man,152
41,antigone,149
42,so,143
43,our,140
44,was,139
45,her,132
46,have,126
47,then,124
48,at,124
49,now,121
50,are,114
51,shall,112
52,ye,111
53,we,110
54,one,108
55,they,104
56,can,104
57,their,97
58,when,94
59,theseus,87
60,may,84
61,she,80
62,let,80
63,nor,80
64,father,80
65,know,79
66,messenger,79
67,would,79
68,ismene,78
69,how,78
70,you,78
71,come,78
72,your,77
73,son,77
74,must,76
75,had,75
76,us,75
77,king,75
78,tis,71
79,more,71
80,where,70
81,say,69
82,these,69
83,here,68
84,death,68
85,such,67
86,god,67
87,yet,66
88,land,66
89,well,65
90,art,63
91,am,63
92,too,62
93,sire,62
94,tell,61
95,them,61
96,an,61
97,state,59
98,has,57
99,thine,57
100,than,57
101,some,57
102,like,56
103,dead,56
104,hast,56
105,life,56
106,own,56
107,jocasta,56
108,thebes,55
109,child,54
110,go,53
111,why,53
112,men,52
113,should,52
114,teiresias,52
115,first,52
116,see,51
117,gods,51
118,were,51
119,there,50
120,hear,50
121,never,50
122,stranger,49
123,mine,47
124,words,47
125,both,47
126,zeus,47
127,mother,47
128,str,46
129,old,46
130,long,45
131,ant,45
132,still,44
133,thus,44
134,hath,44
135,heaven,43
136,hand,43
137,home,42
138,woe,40
139,2,40
140,make,40
141,1,40
142,upon,40
143,children,40
144,fate,39
145,might,39
146,ah,39
147,enter,39
148,laius,39
149,speak,38
150,without,37
151,whom,37
152,none,37
153,word,37
154,out,36
155,again,36
156,eyes,35
157,fear,35
158,find,35
159,dread,35
160,myself,35
161,friend,34
162,any,34
163,did,34
164,most,33
165,lord,33
166,ill,33
167,last,31
168,way,31
169,do,31
170,alone,31
171,take,31
