,word,freq
1,the,7750
2,and,7379
3,to,4908
4,of,4485
5,a,4266
6,i,3528
7,in,2839
8,he,2200
9,it,2187
10,that,2173
11,you,2166
12,her,2066
13,said,2059
14,was,1915
15,his,1787
16,with,1723
17,as,1515
18,she,1408
19,on,1306
20,for,1302
21,n't,1284
22,is,1105
23,do,1099
24,had,1084
25,him,1041
26,be,1028
27,but,999
28,all,992
29,me,831
30,up,820
31,at,790
32,have,776
33,tom,767
34,they,742
35,so,718
36,my,716
37,what,709
38,there,702
39,this,697
40,not,681
41,one,673
42,if,654
43,now,638
44,by,635
45,from,600
46,no,590
47,them,558
48,which,509
49,would,493
50,out,492
51,when,486
52,we,477
53,or,469
54,an,466
55,well,462
56,who,460
57,down,450
58,are,447
59,were,441
60,been,439
61,know,415
62,man,413
63,some,408
64,your,400
65,could,394
66,will,387
67,like,387
68,good,379
69,miss,377
70,o,375
71,their,369
72,clare,368
73,little,363
74,did,363
75,into,354
76,see,353
77,can,340
78,over,338
79,george,337
80,any,334
81,come,327
82,more,321
83,never,315
84,eva,312
85,ophelia,306
86,about,301
87,then,298
88,ye,294
89,only,294
90,way,292
91,child,291
92,think,286
93,go,286
94,very,280
95,old,279
96,mas'r,276
97,how,276
98,get,272
99,after,267
100,such,265
101,has,265
102,here,261
103,than,256
104,every,251
105,time,248
106,poor,244
107,woman,244
108,eyes,241
109,us,241
110,our,234
111,yer,229
112,say,227
113,got,224
114,mother,221
115,shall,220
116,tell,218
117,must,218
118,why,217
119,off,215
120,make,215
121,these,214
122,legree,213
123,where,209
124,other,207
125,take,206
126,own,203
127,should,200
128,much,200
129,last,199
130,before,196
131,day,194
132,heart,193
133,just,193
134,hand,193
135,hands,193
136,haley,190
137,made,188
138,lord,186
139,came,186
140,looked,186
141,two,186
142,face,184
143,great,183
144,master,176
145,shelby,176
146,away,175
147,head,174
148,back,174
149,ca,174
150,going,173
151,let,173
152,ever,172
153,cassy,170
154,may,168
155,too,168
156,young,166
157,room,165
158,seemed,164
159,while,162
160,put,159
161,something,159
162,marie,158
163,give,158
164,things,158
165,eliza,157
166,long,157
167,thing,156
168,thought,155
169,god,154
170,heard,153
171,look,153
172,right,151
173,always,151
174,stood,150
175,boy,149
176,place,148
177,anything,147
178,himself,147
179,saw,146
180,many,145
181,chloe,143
182,want,142
183,its,142
184,soul,138
185,missis,138
186,door,138
187,wo,136
188,yes,135
189,life,135
190,done,134
191,among,134
192,topsy,133
193,father,132
194,through,132
195,those,132
196,yet,131
197,better,131
198,first,130
199,might,130
200,round,130
201,sam,129
202,men,129
203,de,129
204,fellow,128
205,children,127
206,most,127
207,under,127
208,night,126
209,new,126
210,whole,126
211,help,122
212,keep,121
213,again,119
214,kind,118
215,does,116
216,another,116
217,ar,115
218,took,114
219,till,113
220,nothing,112
221,looking,112
222,side,111
223,mind,111
224,upon,110
225,quite,110
226,sat,109
227,though,109
228,enough,107
229,aunt,106
230,an't,106
231,house,106
232,dear,105
233,am,105
234,t,105
235,love,103
236,set,103
237,went,102
238,world,102
239,herself,101
240,wife,101
241,moment,100
242,feel,99
243,used,99
244,black,99
245,work,97
246,hear,97
247,white,96
248,sure,95
249,thee,93
250,read,93
251,once,93
252,voice,92
253,air,92
254,brought,91
255,felt,90
256,few,90
257,free,90
258,word,89
259,without,89
260,soon,89
261,hard,89
262,business,89
