,word,freq
1,and,6371
2,the,4904
3,i,3630
4,a,3201
5,to,2944
6,it,2553
7,was,2092
8,he,1865
9,n't,1684
10,of,1655
11,you,1527
12,in,1458
13,that,1235
14,but,1036
15,so,962
16,we,962
17,on,886
18,up,870
19,for,854
20,all,853
21,they,847
22,out,828
23,me,762
24,him,737
25,do,736
26,there,647
27,says,637
28,got,624
29,then,599
30,no,587
31,would,583
32,his,560
33,she,550
34,as,544
35,had,539
36,with,537
37,them,527
38,could,523
39,did,500
40,said,491
41,down,485
42,see,477
43,what,468
44,when,431
45,about,421
46,my,418
47,well,417
48,at,413
49,if,406
50,by,401
51,come,399
52,one,395
53,jim,390
54,be,366
55,her,355
56,get,334
57,time,325
58,is,321
59,or,319
60,right,304
61,ai,299
62,went,295
63,warn't,293
64,off,288
65,good,288
66,over,287
67,way,278
68,go,275
69,just,274
70,like,274
71,old,266
72,now,265
73,around,264
74,this,260
75,know,257
76,de,252
77,tom,243
78,en,235
79,along,234
80,done,227
81,man,224
82,because,222
83,back,220
84,ever,212
85,going,209
86,why,207
87,how,203
88,little,203
89,some,202
90,here,202
91,your,200
92,say,198
93,never,196
94,too,194
95,more,194
96,two,193
97,again,192
98,have,187
99,tell,186
100,away,182
101,nothing,181
102,made,175
103,take,172
104,us,170
105,took,169
106,make,169
107,from,166
108,nigger,165
109,not,164
110,before,163
111,pretty,163
112,king,162
113,any,160
114,long,160
115,want,158
116,let,158
117,their,154
118,where,151
119,duke,151
120,told,146
121,an,146
122,thing,145
123,set,143
124,river,142
125,after,142
126,think,141
127,give,140
128,kind,139
129,can,138
130,night,138
131,put,137
132,into,137
133,been,136
134,most,135
135,till,134
136,people,129
137,head,127
138,look,125
139,reckon,124
140,every,120
141,things,119
142,only,118
143,raft,118
144,other,115
145,which,115
146,place,114
147,town,114
148,enough,112
149,day,111
150,three,108
151,first,106
152,our,106
153,another,106
154,soon,101
155,very,100
156,last,100
157,much,98
158,ca,97
159,such,96
160,always,96
161,everybody,96
162,wanted,96
163,minute,95
164,big,95
165,better,95
166,knowed,94
167,something,94
168,run,94
169,house,94
170,huck,94
171,hear,92
172,dat,91
173,yes,91
174,gone,90
175,money,89
176,looked,88
177,next,88
178,keep,86
179,than,86
180,chapter,86
181,anything,85
182,through,84
183,trouble,84
184,heard,82
185,bed,82
186,half,81
187,mile,81
188,under,81
189,still,80
190,nobody,78
191,water,77
192,side,77
193,mind,77
194,door,77
195,hand,77
196,dey,76
197,dead,76
198,laid,76
199,miss,76
200,reckoned,75
201,who,75
202,everything,74
203,oh,74
204,found,74
205,mighty,73
206,hain't,73
207,anybody,73
208,men,72
209,hands,72
210,these,72
211,begun,71
212,must,71
213,talk,71
214,dark,71
215,myself,69
216,maybe,69
217,thought,68
218,wo,68
219,o,67
220,work,67
221,home,67
222,woods,67
223,comes,66
224,left,66
225,canoe,65
226,looking,65
227,might,65
228,same,64
229,mary,62
230,nor,61
231,yet,61
232,are,61
233,coming,61
234,pap,61
235,has,60
236,dollars,60
237,body,60
238,will,59
239,behind,59
240,find,59
241,lay,58
242,use,58
243,aunt,58
244,room,58
245,foot,57
246,lot,57
247,young,57
248,started,56
249,help,55
250,saying,54
251,towards,54
252,being,54
253,somebody,53
254,sawyer,53
255,does,52
256,judged,52
257,boy,52
258,show,51
259,while,51
260,fetch,51
261,easy,51
262,poor,51
263,git,51
264,sally,51
265,struck,50
266,morning,50
267,light,50
268,rest,50
269,times,50
270,anyway,49
271,niggers,49
272,mean,49
273,jane,49
274,whole,48
275,getting,48
276,himself,47
277,kept,47
278,world,47
279,widow,47
280,seen,47
281,many,47
282,sometimes,47
283,uncle,47
284,er,46
285,both,46
286,five,46
287,gwyne,46
288,glad,46
289,ten,46
290,doctor,46
291,white,46
292,name,45
293,four,45
294,piece,45
295,course,44
296,feel,44
297,new,44
298,without,44
299,bank,44
300,own,43
301,buck,43
302,island,43
303,turn,42
304,low,42
305,ready,42
306,eyes,42
307,try,42
308,best,42
309,days,41
310,free,41
311,sight,41
312,used,41
313,bad,41
314,chance,40
315,stay,40
316,ben,40
317,open,40
318,stood,40
319,start,40
320,stand,40
321,year,40
322,turned,40
323,middle,39
324,shore,39
325,blame,39
326,six,39
327,hid,39
328,couple,38
329,full,38
330,face,38
331,fool,38
332,fetched,38
333,country,38
334,seem,37
335,stopped,37
336,amongst,37
337,leave,37
338,across,36
339,word,36
340,sure,36
341,sound,36
342,tried,36
343,though,36
344,wait,36
345,breakfast,36
346,thinking,36
347,t'other,35
348,doan,35
349,front,35
350,business,35
351,hundred,35
352,killed,35
353,dog,35
354,hour,35
355,read,35
356,book,35
357,awful,35
358,sick,35
359,boat,35
360,slow,35
361,wuz,34
362,hold,34
363,else,34
364,end,34
365,considerable,34
366,clothes,34
367,ways,34
368,trying,34
369,family,34
370,laying,34
371,below,33
372,black,33
373,idea,33
374,kill,33
375,talking,33
376,sleep,33
377,called,33
378,thousand,33
379,bet,33
380,asleep,33
381,fire,33
382,woman,33
383,cabin,33
384,gentleman,32
385,steamboat,32
386,luck,32
387,allowed,32
388,lit,32
389,lightning,32
390,asked,32
391,judge,32
392,shoved,31
393,log,31
394,shot,31
395,answer,31
396,eat,31
397,straight,31
398,live,31
399,doing,31
400,gun,31
401,drunk,31
402,high,31
403,boys,31
404,life,30
405,bit,30
406,second,30
407,road,30
408,talked,30
409,showed,30
410,comfortable,30
411,hair,30
412,makes,30
413,dogs,30
414,fix,30
415,window,30
416,camp,30
417,sid,29
418,steal,29
419,goes,29
420,floor,29
421,believe,29
422,write,29
423,folks,29
424,wish,29
425,silas,29
426,arms,29
427,call,29
428,runaway,28
429,heart,28
430,safe,28
431,leg,28
432,horse,28
433,den,28
434,saw,28
435,watch,28
436,once,28
437,hat,28
438,felt,28
439,hole,28
440,watson,28
441,mars,27
442,m,27
443,shut,27
444,dropped,27
445,scared,27
446,candle,27
447,round,27
448,line,27
449,quick,27
450,n,26
451,uz,26
452,nights,26
453,broke,26
454,died,26
455,ask,26
456,tin,26
457,sorry,26
458,agin,26
459,cold,26
460,hard,26
461,different,26
462,satisfied,26
463,supper,26
464,father,26
465,land,25
466,mo,25
467,words,25
468,may,25
469,crowd,25
470,worth,25
471,women,25
472,paper,25
473,hardly,25
474,wrote,25
475,brother,25
476,bill,25
477,gang,25
478,prisoner,24
479,dig,24
480,yonder,24
481,ole,24
482,none,24
483,sir,24
484,loose,24
485,person,24
486,hung,24
487,slid,24
488,against,24
489,close,24
490,sign,24
491,together,24
492,bag,24
493,thirty,24
494,rats,24
495,running,24
496,ladder,23
497,girl,23
498,stairs,23
499,fixed,23
500,jumped,23
501,daylight,23
502,stole,23
503,somehow,23
504,forgot,23
505,village,23
506,ground,23
507,care,23
508,table,23
509,rich,23
510,cents,23
511,shirt,23
512,finn,23
513,s'i,22
514,harvey,22
515,whilst,22
516,girls,22
517,hurry,22
518,fifteen,22
519,jis,22
520,lantern,22
521,plan,22
522,hide,22
523,far,22
524,hurt,22
525,school,22
526,happened,22
527,ahead,22
528,stop,22
529,waited,22
530,places,22
531,plenty,22
532,minutes,22
533,heads,22
534,shook,22
535,pie,22
536,peter,21
537,ought,21
538,cat,21
539,each,21
540,twenty,21
541,aboard,21
542,current,21
543,corner,21
544,sudden,21
545,bottom,21
546,hanging,21
547,whether,21
548,church,21
549,cut,21
550,mouth,21
551,tears,21
552,tree,21
553,tied,21
554,matter,21
555,ago,21
556,years,21
557,late,21
558,snake,21
559,coat,21
560,sold,21
561,ashore,21
562,dear,20
563,perfectly,20
564,friend,20
565,wigwam,20
566,um,20
567,blow,20
568,goodness,20
569,fast,20
570,dinner,20
571,nice,20
572,alone,20
573,throw,20
574,children,20
575,stick,20
576,tired,20
577,seven,20
578,between,20
579,dah,20
580,fell,20
581,sweat,20
582,harm,20
583,regular,20
584,yourself,20
585,fog,20
586,wreck,20
587,deep,20
588,william,19
589,spoon,19
590,rope,19
591,chile,19
592,preacher,19
593,shove,19
594,snakes,19
595,thick,19
596,catched,19
597,looky,19
598,difference,19
599,standing,19
600,feeling,19
601,s'pose,19
602,busted,19
603,guns,19
604,above,19
605,week,19
606,quiet,19
607,skiff,19
608,spread,19
609,top,19
610,noticed,19
611,seemed,19
612,slipped,19
613,listened,19
614,trees,19
615,need,19
616,worked,19
617,smoke,19
618,lost,19
619,cried,19
620,honest,19
621,sell,19
622,solid,19
623,powerful,19
624,ther,18
625,letter,18
626,george,18
627,coffin,18
628,wid,18
629,telling,18
630,horses,18
631,hours,18
632,jump,18
633,besides,18
634,hunt,18
635,raised,18
636,catch,18
637,further,18
638,sun,18
639,drownded,18
640,notice,18
641,mine,18
642,neck,18
643,setting,18
644,crying,18
645,wished,18
646,herself,18
647,clean,18
648,forty,18
649,making,18
650,job,18
651,am,18
652,rod,18
653,sherburn,18
654,lie,18
655,locked,18
656,turns,17
657,frauds,17
658,kings,17
659,born,17
660,send,17
661,dis,17
662,reck'n,17
663,afraid,17
664,rain,17
665,outside,17
666,eye,17
667,air,17
668,wild,17
669,thinks,17
670,corn,17
671,natural,17
672,store,17
673,bust,17
674,ones,17
675,sort,17
676,stuff,17
677,beautiful,17
678,real,17
679,wall,17
680,yards,17
681,stuck,17
682,letting,17
683,likely,17
684,clear,17
685,noise,17
686,its,17
687,die,17
688,longer,17
689,thatcher,17
690,phelps,16
691,case,16
692,worse,16
693,sense,16
694,towhead,16
695,hang,16
696,ain,16
697,count,16
698,mos,16
699,sung,16
700,bread,16
701,lose,16
702,wide,16
703,laughed,16
704,walk,16
705,uneasy,16
706,knife,16
707,lived,16
708,pan,16
709,blue,16
710,quarter,16
711,shucks,16
712,played,16
713,clumb,16
714,waked,16
715,deal,16
716,knows,16
717,books,16
718,account,16
719,miles,16
720,son,16
721,mostly,16
722,sheet,16
723,gentlemen,16
724,death,16
725,truck,16
726,please,16
727,sister,16
728,sunday,16
729,funeral,16
730,boggs,16
731,friends,15
732,sings,15
733,louis,15
734,stayed,15
735,grabbed,15
736,skin,15
737,fur,15
738,hot,15
739,sah,15
740,heah,15
741,sich,15
742,paddle,15
743,nine,15
744,lawyer,15
745,handy,15
746,illinois,15
747,arm,15
748,quit,15
749,mother,15
750,brass,15
751,nuther,15
752,begin,15
753,except,15
754,others,15
755,having,15
756,orleans,15
757,fence,15
758,pay,15
759,slip,15
760,inside,15
761,ef,15
762,shoulder,15
763,leaves,15
764,lonesome,15
765,tight,15
766,rat,15
767,chaw,15
768,letters,15
769,straw,15
770,witches,15
771,england,15
772,takes,15
773,gets,15
774,signs,15
775,wilks,14
776,break,14
777,dream,14
778,wouldn,14
779,le,14
780,hungry,14
781,stream,14
782,beat,14
783,short,14
784,headed,14
785,chain,14
786,near,14
787,notion,14
788,watched,14
789,cussing,14
790,raise,14
791,whisky,14
792,pocket,14
793,gray,14
794,yo,14
795,held,14
796,kinds,14
797,fish,14
798,style,14
799,cry,14
800,rode,14
801,play,14
802,knees,14
803,didn,14
804,since,14
805,nearly,14
806,soft,14
807,wants,14
808,fault,14
809,kin,14
810,gold,14
811,liked,14
812,wood,14
813,cave,14
814,grindstone,13
815,twice,13
816,save,13
817,weeks,13
818,stranger,13
819,remember,13
820,flung,13
821,honey,13
822,lovely,13
823,few,13
824,bother,13
825,track,13
826,missed,13
827,paddled,13
828,blamed,13
829,alive,13
830,wrong,13
831,logs,13
832,borrow,13
833,midnight,13
834,sweet,13
835,breath,13
836,ornery,13
837,pray,13
838,houses,13
839,opened,13
840,fine,13
841,state,13
842,candles,13
843,tie,13
844,listen,13
845,dasn't,13
846,breast,13
847,wind,13
848,mad,13
849,mixed,13
850,hunted,13
851,fifty,13
852,tearing,13
853,eight,13
854,watching,13
855,taking,13
856,polly,13
857,small,13
858,pile,13
859,cairo,13
860,floating,13
861,lady,12
862,red,12
863,un,12
864,jest,12
865,ourselves,12
866,rock,12
867,kinder,12
868,sky,12
869,rip,12
870,past,12
871,o'clock,12
872,dozen,12
873,great,12
874,cool,12
875,govment,12
876,child,12
877,law,12
878,picture,12
879,putting,12
880,cellar,12
881,weather,12
882,months,12
883,fooling,12
884,understand,12
885,drop,12
886,dressed,12
887,learn,12
888,part,12
889,wake,12
890,stock,12
891,truth,12
892,true,12
893,looks,12
894,lip,12
895,hare,12
896,fellow,12
897,fairly,12
898,slept,12
899,mumps,12
900,ring,12
901,troubles,12
902,curtain,11
903,gracious,11
904,jist,11
905,early,11
906,watermelon,11
907,buy,11
908,loud,11
909,bound,11
910,generly,11
911,reward,11
912,voice,11
913,yesterday,11
914,cow,11
915,yard,11
916,daytime,11
917,pull,11
918,jackson,11
919,moon,11
920,laugh,11
921,blanket,11
922,afeard,11
923,carpet,11
924,yaller,11
925,lid,11
926,po,11
927,ball,11
928,property,11
929,questions,11
930,slide,11
931,tear,11
932,iron,11
933,worry,11
934,pulled,11
935,lights,11
936,fun,11
937,legs,11
938,kitchen,11
939,tracks,11
940,sing,11
941,change,11
942,somewheres,11
943,tuck,11
944,names,11
945,dollar,11
946,stretched,11
947,speech,11
948,shed,11
949,steps,11
950,gimme,11
951,robbers,11
952,fellows,11
953,glory,11
954,row,11
955,square,11
956,royal,11
957,circus,11
958,mark,11
959,pens,10
960,uncles,10
961,susan,10
962,nonesuch,10
963,street,10
964,bilgewater,10
965,bang,10
966,pa,10
967,tick,10
968,private,10
969,shepherdsons,10
970,whoop,10
971,rapscallions,10
972,raf,10
973,either,10
974,t,10
975,solemn,10
976,pictures,10
977,rush,10
978,cavern,10
979,wisht,10
980,bob,10
981,overboard,10
982,mum,10
983,whah,10
984,streak,10
985,hope,10
986,ferryboat,10
987,ruther,10
988,stern,10
989,oars,10
990,pick,10
991,begged,10
992,lots,10
993,tramp,10
994,lines,10
995,dirt,10
996,key,10
997,jug,10
998,whooping,10
999,rolled,10
1000,believed,10
1001,stead,10
1002,flat,10
1003,jack,10
1004,even,10
1005,seeing,10
1006,whatever,10
1007,rob,10
1008,edge,10
1009,servant,10
1010,touch,10
1011,whenever,10
1012,crawled,10
1013,crossed,10
1014,rough,10
1015,knives,10
1016,auction,10
1017,injun,10
1018,alas,10
1019,juliet,10
1020,fair,10
1021,listening,10
1022,band,10
1023,meeting,10
1024,hunting,10
1025,plates,9
1026,prisoners,9
1027,goo,9
1028,lean,9
1029,crazy,9
1030,wagon,9
1031,laughing,9
1032,surprise,9
1033,kiss,9
1034,painted,9
1035,majesty,9
1036,south,9
1037,neither,9
1038,beats,9
1039,noth'n,9
1040,texas,9
1041,dug,9
1042,dry,9
1043,mistake,9
1044,lives,9
1045,chop,9
1046,studying,9
1047,calico,9
1048,throwed,9
1049,chairs,9
1050,broken,9
1051,bend,9
1052,sides,9
1053,beginning,9
1054,booming,9
1055,sharp,9
1056,walked,9
1057,plain,9
1058,counted,9
1059,grass,9
1060,sawed,9
1061,coffee,9
1062,wore,9
1063,yelling,9
1064,heels,9
1065,mud,9
1066,tow,9
1067,dreadful,9
1068,plate,9
1069,wash,9
1070,ferry,9
1071,forget,9
1072,shake,9
1073,speak,9
1074,kase,9
1075,uv,9
1076,roun,9
1077,yit,9
1078,pass,9
1079,loaded,9
1080,sent,9
1081,float,9
1082,self,9
1083,awhile,9
1084,crept,9
1085,captain,9
1086,love,9
1087,nation,9
1088,blood,9
1089,bushes,9
1090,grand,9
1091,happen,9
1092,monstrous,9
1093,heavy,9
1094,teeth,9
1095,nose,9
1096,betwixt,9
1097,pipe,9
1098,budge,9
1099,stars,9
1100,chair,9
1101,tolerable,9
1102,bell,9
1103,rags,9
1104,apiece,9
1105,mainly,9
1106,were,9
1107,missouri,9
1108,rose,9
1109,dull,9
1110,rubbage,9
1111,undertaker,9
1112,crack,9
1113,shepherdson,9
1114,shooting,9
1115,level,9
1116,hut,9
1117,hiding,9
1118,orgies,9
1119,evening,9
1120,general,9
1121,watchman,9
1122,goshen,9
1123,grace,9
1124,spiders,8
1125,picks,8
1126,sea,8
1127,baggage,8
1128,office,8
1129,ride,8
1130,shouting,8
1131,main,8
1132,crick,8
1133,splendid,8
1134,sophia,8
1135,poetry,8
1136,butter,8
1137,parlor,8
1138,handsome,8
1139,already,8
1140,feather,8
1141,happy,8
1142,become,8
1143,excited,8
1144,yer,8
1145,wheel,8
1146,afternoon,8
1147,deck,8
1148,reach,8
1149,fight,8
1150,bless,8
1151,certain,8
1152,gown,8
1153,dress,8
1154,worst,8
1155,guess,8
1156,sixteen,8
1157,dim,8
1158,rooms,8
1159,dem,8
1160,banks,8
1161,meat,8
1162,swim,8
1163,holt,8
1164,out'n,8
1165,pale,8
1166,traps,8
1167,double,8
1168,holes,8
1169,landed,8
1170,rate,8
1171,landing,8
1172,bright,8
1173,carried,8
1174,birds,8
1175,willows,8
1176,often,8
1177,saved,8
1178,wonderful,8
1179,lets,8
1180,bow,8
1181,meal,8
1182,sack,8
1183,study,8
1184,kissed,8
1185,wife,8
1186,warm,8
1187,cussed,8
1188,tore,8
1189,slouch,8
1190,bills,8
1191,stomach,8
1192,follow,8
1193,curious,8
1194,wondering,8
1195,ashamed,8
1196,thunder,8
1197,rag,8
1198,powwow,8
1199,chap,8
1200,providence,8
1201,foolishness,8
1202,bring,8
1203,secret,8
1204,rogers,8
1205,broad,8
1206,devil,8
1207,wonder,8
1208,proud,8
1209,hill,8
1210,resk,8
1211,more'n,8
1212,hears,8
1213,scratch,8
1214,branches,8
1215,path,8
1216,twelve,8
1217,thread,8
1218,particular,8
1219,barrel,8
1220,tough,8
1221,hugged,8
1222,brothers,8
1223,seventeen,8
1224,rights,8
1225,harney,8
1226,sollermun,8
