,word,freq
1,the,3794
2,and,3125
3,a,1895
4,to,1727
5,of,1463
6,it,1317
7,he,1253
8,was,1177
9,that,1029
10,i,1014
11,in,955
12,you,888
13,his,820
14,tom,819
15,with,648
16,n't,622
17,they,620
18,but,583
19,for,533
20,had,529
21,him,434
22,do,407
23,she,404
24,as,398
25,on,378
26,at,373
27,so,360
28,said,356
29,there,338
30,all,329
31,then,307
32,up,301
33,be,296
34,this,293
35,not,292
36,would,289
37,now,287
38,her,285
39,by,278
40,were,277
41,out,277
42,no,268
43,huck,258
44,what,251
45,if,237
46,when,212
47,me,212
48,could,203
49,did,200
50,their,194
51,time,191
52,one,190
53,an,186
54,we,184
55,is,181
56,from,180
57,got,177
58,well,175
59,them,171
60,joe,170
61,have,169
62,down,167
63,about,167
64,boys,158
65,been,150
66,upon,148
67,or,147
68,just,146
69,little,143
70,more,142
71,into,140
72,see,139
73,go,138
74,over,136
75,boy,136
76,know,131
77,never,131
78,away,131
79,again,130
80,come,129
81,like,127
82,ai,123
83,back,121
84,oh,120
85,two,120
86,came,118
87,any,118
88,some,117
89,went,115
90,becky,115
91,get,113
92,here,111
93,began,110
94,say,108
95,good,108
96,too,107
97,long,106
98,my,106
99,himself,106
100,only,105
101,way,105
102,off,102
103,tell,101
104,before,101
105,ever,100
106,other,100
107,why,99
108,old,99
109,after,96
110,right,94
111,let,94
112,through,94
113,night,93
114,how,92
115,under,90
116,aunt,89
117,around,88
118,made,87
119,found,85
120,thought,84
121,your,83
122,who,83
123,took,82
124,presently,82
125,last,81
126,sid,80
127,every,79
128,very,78
129,its,77
130,day,76
131,going,75
132,injun,75
133,yes,74
134,where,74
135,take,74
136,reckon,73
137,will,73
138,can,72
139,thing,72
140,chapter,72
141,always,71
142,heart,70
143,house,70
144,which,69
145,head,69
146,moment,69
147,dead,69
148,school,69
149,such,68
150,great,68
151,still,68
152,might,67
153,once,67
154,place,67
155,something,66
156,face,66
157,than,66
158,much,65
159,seemed,64
160,hand,63
161,while,62
162,enough,62
163,along,61
164,another,61
165,want,61
166,man,61
167,look,60
168,three,60
169,wo,59
170,new,58
171,done,57
172,put,57
173,polly,57
174,anything,56
175,poor,56
176,till,55
177,make,55
178,nothing,54
179,home,54
180,potter,54
181,water,53
182,because,53
183,half,53
184,stood,53
185,next,53
186,us,52
187,find,51
188,even,51
189,mind,51
190,turned,51
191,village,51
192,talk,51
193,eyes,50
194,are,50
195,keep,50
196,ca,50
197,these,49
198,each,48
199,far,48
200,anybody,48
201,told,48
202,think,47
203,knew,47
204,cave,47
205,work,47
206,must,46
207,give,46
208,without,46
209,door,46
210,lay,46
211,thatcher,46
212,soon,45
213,looked,45
214,maybe,43
215,gone,43
216,men,43
217,most,43
218,widow,43
219,town,42
220,things,42
221,fell,41
222,sat,41
223,awful,41
224,better,40
225,saw,40
226,many,39
227,book,39
228,mary,39
229,being,38
230,first,38
231,harper,38
232,tried,37
233,girl,37
234,same,37
235,whole,37
236,gave,37
237,hands,37
238,hear,37
239,felt,37
240,own,37
241,turn,37
242,world,36
243,small,36
244,sawyer,36
245,almost,35
246,morning,35
247,body,35
248,lost,35
249,white,34
250,try,34
251,sleep,34
252,life,34
253,everything,33
254,mean,33
255,course,33
256,brought,32
257,silence,32
258,money,32
259,followed,32
260,rest,32
261,trouble,32
262,hope,32
263,people,32
264,days,32
265,young,32
266,hour,31
267,left,31
268,together,31
269,yet,31
270,behind,31
271,voice,31
272,themselves,31
273,judge,31
274,matter,30
275,stopped,30
276,light,30
277,ground,30
278,air,30
279,looking,30
280,huckleberry,30
281,side,30
282,fire,30
283,church,30
284,heard,29
285,window,29
286,eye,29
287,moved,29
288,dark,29
289,wish,28
290,wait,28
291,both,28
292,children,28
293,master,28
294,whispered,27
295,sound,27
296,end,27
297,word,27
298,getting,27
299,toward,27
300,ben,27
301,feet,27
302,hill,27
303,started,27
304,within,27
305,reached,27
306,few,27
307,seen,27
308,knife,27
309,muff,27
310,bet,26
311,mighty,26
312,does,26
313,run,26
314,river,26
315,treasure,26
316,sunday,26
317,words,25
318,should,25
319,candle,25
320,close,25
321,sure,25
322,wanted,25
323,times,25
324,breath,25
325,bed,25
326,high,25
327,room,25
328,itself,25
329,until,24
330,grew,24
331,anyway,24
332,interest,24
333,hard,24
334,full,24
335,cat,24
336,against,24
337,dream,24
338,feel,23
339,stand,23
340,less,23
341,kind,23
342,fence,23
343,lady,23
344,business,23
345,smoke,22
346,everybody,22
347,rose,22
348,ten,22
349,set,22
350,near,22
351,name,22
352,kept,22
353,broke,22
354,open,22
355,has,22
356,late,22
357,kill,21
358,stay,21
359,five,21
360,dropped,21
361,herself,21
362,whose,21
363,foot,21
364,glad,21
365,minute,21
366,those,21
367,welshman,20
368,leave,20
369,nobody,20
370,shall,20
371,sir,20
372,company,20
373,passed,20
374,clothes,20
375,lie,20
376,big,20
377,deep,20
378,else,20
379,part,20
380,afraid,20
381,pirates,20
382,entered,20
383,ready,19
384,please,19
385,use,19
386,breakfast,19
387,hardly,19
388,chance,19
389,line,19
390,finally,19
391,sort,19
392,our,19
393,though,19
394,believe,19
395,coming,19
396,mouth,19
397,best,19
398,woods,19
399,jim,19
400,box,19
401,black,19
402,midnight,19
403,since,18
404,talking,18
405,auntie,18
406,fine,18
407,red,18
408,tears,18
409,somebody,18
410,hundred,18
411,spring,18
412,pretty,18
413,bad,18
414,blue,18
415,help,18
416,round,18
417,distance,18
418,hold,18
419,sometimes,18
420,girls,18
421,among,18
422,pirate,18
423,finn,18
424,order,18
425,secret,18
426,grave,18
427,tavern,17
428,meant,17
429,however,17
430,idea,17
431,cry,17
432,stop,17
433,beyond,17
434,called,17
435,fool,17
436,bit,17
437,low,17
438,child,17
439,dog,17
440,instant,17
441,alone,17
442,doing,17
443,occurred,17
444,piece,17
445,comes,17
446,happy,17
447,island,16
448,died,16
449,showed,16
450,ear,16
451,call,16
452,burst,16
453,tree,16
454,spirit,16
455,ran,16
456,held,16
457,stepped,16
458,drew,16
459,soul,16
460,minutes,16
461,warn't,16
462,least,16
463,says,16
464,lord,16
465,saying,16
466,death,16
467,mother,16
468,douglas,16
469,conscience,16
470,watch,15
471,tick,15
472,broken,15
473,news,15
474,none,15
475,bear,15
476,awhile,15
477,suddenly,15
478,middle,15
479,shook,15
480,struck,15
481,care,15
482,discovered,15
483,ha'nted,15
484,amy,15
485,camp,15
486,hours,15
487,strong,15
488,spaniard,14
489,adventure,14
490,listened,14
491,blood,14
492,quick,14
493,doctor,14
494,makes,14
495,used,14
496,making,14
497,cold,14
498,fall,14
499,die,14
500,wall,14
501,speak,14
502,corner,14
503,twenty,14
504,four,14
505,happened,14
506,sun,14
507,continued,14
508,arms,14
509,ling,14
510,human,14
511,melancholy,14
512,above,14
513,became,14
514,saturday,14
515,faces,14
516,between,14
517,hair,14
518,pocket,14
519,main,14
520,rock,14
521,week,14
522,noticed,14
523,afternoon,14
524,women,14
525,ago,14
526,also,14
527,drop,14
528,stir,14
529,remember,14
530,result,14
531,minister,14
532,general,14
533,shore,13
534,mile,13
535,hid,13
536,cross,13
537,group,13
538,start,13
539,becuz,13
540,blame,13
541,ask,13
542,indeed,13
543,watched,13
544,given,13
545,during,13
546,below,13
547,sermon,13
548,sprang,13
549,lights,13
550,raft,13
551,hung,13
552,lit,13
553,certain,13
554,floor,13
555,asleep,13
556,sitting,13
557,nice,13
558,six,13
559,thousand,13
560,slow,13
561,standing,13
562,trying,13
563,alley,13
564,seem,13
565,filled,13
566,crying,13
567,dressed,13
