,word,freq
1,the,4796
2,and,2488
3,of,2304
4,a,1606
5,i,1289
6,to,1172
7,in,996
8,was,850
9,that,787
10,it,674
11,had,580
12,my,469
13,with,448
14,as,446
15,at,442
16,he,422
17,on,378
18,were,365
19,for,343
20,they,338
21,from,329
22,but,290
23,we,269
24,me,267
25,there,260
26,by,254
27,his,250
28,this,249
29,out,230
30,have,218
31,their,213
32,s,208
33,all,205
34,into,199
35,not,197
36,one,196
37,so,185
38,them,183
39,about,177
40,no,175
41,upon,171
42,been,170
43,then,167
44,said,166
45,up,164
46,martians,164
47,people,157
48,him,154
49,or,154
50,its,153
51,is,153
52,came,149
53,be,146
54,over,142
55,an,139
56,saw,131
57,towards,129
58,down,128
59,man,125
60,through,124
61,time,121
62,black,120
63,some,117
64,could,116
65,what,114
66,these,114
67,little,112
68,again,106
69,men,104
70,brother,103
71,after,101
72,now,101
73,night,101
74,road,101
75,which,100
76,us,100
77,our,100
78,way,99
79,went,99
80,would,99
81,across,96
82,still,94
83,seemed,91
84,first,88
85,like,88
86,did,85
87,are,85
88,martian,82
89,two,82
90,pit,82
91,you,79
92,very,79
93,smoke,78
94,who,77
95,more,76
96,water,76
97,when,74
98,back,73
99,stood,72
100,heard,71
101,even,71
102,under,71
103,made,71
104,see,70
105,before,70
106,day,69
107,last,69
108,her,68
109,against,68
110,if,67
111,along,66
112,houses,66
113,red,66
114,seen,66
115,only,66
116,found,65
117,cylinder,65
118,another,64
119,far,63
120,london,62
121,trees,61
122,three,61
123,common,61
124,t,60
125,away,60
126,must,60
127,things,60
128,here,59
129,any,59
130,hill,58
131,house,58
132,began,57
133,suddenly,57
134,other,57
135,side,55
136,those,55
137,than,55
138,myself,53
139,near,53
140,might,53
141,come,52
142,woking,52
143,nothing,51
144,how,51
145,go,50
146,place,50
147,thing,50
148,between,49
149,such,49
150,until,49
151,already,49
152,long,49
153,great,49
154,guns,48
155,turned,48
156,off,48
157,lay,48
158,behind,48
159,going,47
160,moment,47
161,thought,47
162,being,47
163,strange,46
164,looked,45
165,face,45
166,sky,45
167,do,45
168,can,44
169,just,44
170,every,44
171,has,44
172,eyes,44
173,among,43
174,get,43
175,may,43
176,beyond,43
177,slowly,43
178,earth,43
179,curate,43
180,light,42
181,almost,42
182,white,41
183,passed,41
184,round,41
185,fire,41
186,once,41
187,know,41
188,most,41
189,mind,40
190,left,40
191,feet,40
192,mars,40
193,will,39
194,got,39
195,where,39
196,part,39
197,too,39
198,green,39
199,dead,39
200,window,39
201,coming,39
202,she,38
203,without,38
204,street,38
205,much,38
206,door,37
207,crowd,37
208,something,37
209,while,37
210,days,37
211,heat-ray,37
212,wife,36
213,morning,36
214,yet,36
215,death,36
216,food,35
217,running,35
218,station,35
219,presently,35
220,air,35
221,grew,34
222,quite,34
223,bridge,34
224,body,34
225,darkness,34
226,human,34
227,standing,33
228,many,33
229,head,33
230,dark,32
231,sound,32
232,told,32
233,silent,32
234,life,32
235,perhaps,32
236,weed,31
237,sight,31
238,rose,31
239,scarcely,31
240,river,30
241,ve,30
242,stopped,30
243,ground,30
244,hand,30
245,pine,30
246,within,30
247,few,30
248,huge,30
249,half,30
250,planet,30
251,became,29
252,number,29
253,close,29
254,staring,29
255,railway,29
256,faint,29
257,own,29
258,artilleryman,28
259,hundred,28
260,think,28
261,gone,28
262,end,28
263,ulla,27
264,smashed,27
265,streets,27
266,horse,27
267,clear,27
268,sat,27
269,second,27
270,blue,27
271,seem,27
272,weybridge,27
273,lane,26
274,felt,26
275,ran,26
276,each,26
277,above,25
278,though,25
279,line,25
280,news,25
281,past,25
282,since,25
283,sun,25
284,horsell,25
285,world,25
286,save,24
287,four,24
288,done,24
289,hands,24
290,yards,24
291,high,24
292,country,24
293,nearer,24
294,gave,24
295,fell,24
296,kitchen,23
297,chance,23
298,cart,23
299,god,23
300,drove,23
301,direction,23
302,took,23
303,never,23
304,next,23
305,idea,23
306,work,23
307,park,22
308,ruins,22
309,re,22
310,steam,22
311,broken,22
312,fear,22
313,keep,22
314,burning,22
315,should,22
316,edge,22
317,dust,22
318,well,22
319,remember,22
320,fro,22
321,destruction,22
322,ll,21
323,blackened,21
324,evening,21
325,make,21
326,clock,21
327,noise,21
328,soon,21
329,find,21
330,appeared,21
331,heavy,21
332,corner,21
333,ogilvy,21
334,escape,21
335,indeed,21
336,happened,21
337,vapour,20
338,knew,20
339,terror,20
340,several,20
341,couple,20
342,top,20
343,brought,20
344,fallen,20
345,struck,20
346,third,20
347,early,20
348,same,20
349,possible,20
350,creatures,20
351,scullery,19
352,thames,19
353,dog,19
354,leatherhead,19
355,driving,19
356,tell,19
357,rising,19
358,both,19
359,position,19
360,o,19
361,five,19
362,remained,19
363,flash,19
364,small,19
365,papers,19
366,grey,19
367,either,19
368,space,19
369,foot,19
370,falling,19
371,st.,18
372,sunday,18
373,bit,18
