,word,freq
1,the,3768
2,and,2211
3,of,2175
4,to,2101
5,i,1693
6,a,1672
7,he,1541
8,you,1445
9,that,1361
10,it,1343
11,in,1209
12,was,1090
13,his,996
14,is,915
15,had,837
16,him,661
17,with,659
18,for,587
19,as,572
20,have,562
21,at,562
22,me,523
23,not,505
24,be,453
25,do,440
26,her,439
27,one,436
28,she,431
29,n't,418
30,dorian,415
31,what,399
32,but,396
33,are,373
34,on,358
35,there,337
36,they,318
37,would,312
38,my,303
39,all,294
40,said,262
41,from,254
42,were,251
43,lord,248
44,so,248
45,been,236
46,henry,236
47,am,232
48,life,231
49,an,229
50,who,225
51,if,224
52,some,224
53,about,223
54,or,220
55,when,218
56,no,218
57,by,218
58,like,213
59,your,207
60,them,203
61,will,201
62,gray,200
63,man,180
64,harry,178
65,never,176
66,know,176
67,has,171
68,over,169
69,we,169
70,must,159
71,into,159
72,basil,158
73,out,156
74,their,156
75,up,150
76,how,149
77,this,148
78,then,147
79,could,140
80,more,136
81,now,134
82,good,133
83,own,130
84,can,129
85,things,128
86,think,127
87,its,126
88,something,126
89,come,123
90,very,123
91,see,122
92,us,121
93,than,121
94,did,120
95,thing,120
96,should,119
97,seemed,119
98,which,119
99,any,117
100,go,115
101,love,112
102,only,111
103,always,110
104,made,110
105,time,110
106,eyes,109
107,quite,107
108,face,107
109,too,106
110,himself,106
111,want,105
112,after,103
113,really,103
114,room,102
115,down,101
116,people,101
117,back,100
118,away,99
119,came,99
120,night,98
121,say,97
122,cried,95
123,looked,94
124,tell,93
125,nothing,93
126,world,93
127,why,92
128,look,91
129,much,91
130,hallward,91
131,going,87
132,answered,87
133,little,87
134,sibyl,85
135,yes,85
136,upon,84
137,through,84
138,thought,84
139,round,80
140,once,80
141,shall,79
142,ever,78
143,day,77
144,told,77
145,such,77
146,art,77
147,felt,76
148,great,75
149,most,74
150,men,74
151,before,73
152,dear,73
153,long,73
154,yet,72
155,again,72
156,other,72
157,our,72
158,young,72
159,looking,70
160,picture,70
161,lady,69
162,everything,69
163,soul,68
164,moment,68
165,anything,68
166,door,67
167,well,67
168,let,66
169,hand,66
170,women,66
171,those,65
172,two,64
173,went,63
174,being,63
175,afraid,61
176,asked,61
177,old,61
178,might,61
179,across,61
180,every,60
181,passed,60
182,make,60
183,table,59
184,vane,58
185,wonderful,58
186,white,58
187,lips,57
188,sir,56
189,left,55
190,beauty,55
191,house,54
192,got,54
193,turned,54
194,better,54
195,where,54
196,head,53
197,lad,52
198,hands,52
199,portrait,52
200,here,51
201,course,51
202,oh,50
203,done,50
204,still,49
205,gold,49
206,right,49
207,believe,49
208,ca,49
209,true,49
210,even,49
211,horrible,48
212,last,48
213,first,48
214,knew,48
215,curious,48
216,voice,47
217,rather,47
218,name,47
219,myself,47
220,suddenly,47
221,passion,46
222,found,46
223,strange,46
224,way,46
225,whose,46
226,work,46
227,get,45
228,take,45
229,pleasure,45
230,does,45
231,duchess,44
232,mother,44
233,saw,44
234,began,44
235,just,44
236,beautiful,44
237,woman,43
238,talk,43
239,dreadful,43
240,charming,43
241,against,42
242,murmured,42
243,wish,42
244,put,42
245,dead,41
246,girl,41
247,seen,41
248,few,41
249,red,41
250,secret,41
251,simply,41
252,real,41
253,laughed,41
254,many,41
255,wonder,40
256,terrible,40
257,met,40
258,perhaps,40
259,each,40
260,play,40
261,painter,40
262,give,39
263,because,39
264,merely,39
265,absolutely,39
266,though,39
267,years,39
268,often,38
269,youth,37
270,heard,37
271,bad,37
272,past,37
273,indeed,37
274,used,37
275,new,37
276,mad,36
277,behind,36
278,having,36
279,whole,36
280,half,36
281,feel,36
282,boy,36
283,yourself,36
284,certainly,36
285,mind,35
286,ah,35
287,forget,35
288,suppose,35
289,place,35
290,took,34
291,air,34
292,stood,34
293,sense,34
294,alan,33
295,joy,33
296,music,33
297,almost,33
298,sure,33
299,rose,33
300,matter,33
301,find,33
302,death,32
303,answer,32
304,words,32
305,ask,32
306,painted,32
307,hideous,32
308,wo,32
309,chair,31
310,feet,31
311,sat,31
312,may,31
313,book,31
314,pain,30
315,nature,30
316,became,30
317,poor,30
318,friend,30
319,age,30
320,black,30
321,same,30
322,reason,30
323,coloured,30
324,read,30
325,mean,30
326,god,29
327,fancy,29
328,opened,29
329,help,29
330,terror,29
331,sorry,29
332,delightful,29
333,hair,29
334,friends,29
335,without,29
336,artist,29
337,campbell,28
338,become,28
339,sin,28
340,home,28
341,end,28
342,wild,28
343,moments,28
344,body,28
345,heart,28
346,shook,28
347,live,28
348,seems,28
349,blue,28
350,whom,28
351,morning,27
352,sins,27
353,three,27
354,known,27
355,call,27
356,brought,27
357,makes,27
358,kind,27
359,heavy,27
360,garden,27
361,these,27
362,off,26
363,besides,26
364,entered,26
365,try,26
366,late,26
367,happy,26
368,exquisite,26
369,evening,26
370,charm,26
371,sit,26
372,expression,26
373,gone,26
374,large,26
375,times,25
376,monstrous,25
377,others,25
378,understand,25
379,either,25
380,fingers,25
381,lives,24
382,green,24
383,silver,24
384,walked,24
385,days,24
386,else,24
387,gentleman,24
388,remember,24
389,till,24
390,together,24
391,both,24
392,married,24
393,romance,24
394,word,24
395,set,24
396,brain,24
397,smile,24
398,light,24
399,chapter,24
400,blood,23
401,drew,23
402,senses,23
403,passions,23
404,however,23
405,influence,23
406,mere,23
407,conscious,23
408,canvas,23
409,sometimes,23
410,perfectly,23
411,itself,23
412,front,23
413,narborough,22
414,changed,22
415,money,22
416,son,22
417,called,22
418,hour,22
419,broke,22
420,yellow,22
421,exclaimed,22
422,laughing,22
423,wife,22
424,fellow,22
425,best,22
426,gave,22
427,perfect,22
428,hope,22
429,horror,21
430,james,21
431,act,21
432,loved,21
433,happened,21
434,street,21
435,enough,21
436,servant,21
437,remembered,21
438,colour,21
439,certain,21
440,spoke,21
441,minutes,21
442,coat,21
443,leave,21
444,sort,21
445,between,21
446,far,21
447,next,21
448,window,21
449,form,21
450,manner,21
451,de,20
452,dinner,20
453,died,20
454,theatre,20
455,watched,20
456,bye,20
457,flung,20
458,club,20
459,smiling,20
460,self,20
461,change,20
462,care,20
463,grew,20
464,hear,20
465,given,20
466,least,20
467,leaves,20
468,soon,20
469,laugh,20
470,bear,20
471,lying,20
472,feeling,20
473,part,20
474,prince,19
475,fell,19
476,keep,19
477,rate,19
478,fire,19
479,memory,19
480,glanced,19
481,kept,19
482,arm,19
483,cold,19
484,speak,19
485,present,19
486,subtle,19
487,also,19
488,less,19
489,coming,19
490,serious,19
491,whatever,19
492,except,19
493,extraordinary,19
494,london,19
495,filled,19
496,point,19
497,key,18
498,screen,18
499,already,18
500,paris,18
501,dress,18
502,tea,18
503,waiting,18
504,interest,18
505,touch,18
506,shame,18
507,five,18
508,scarlet,18
509,tired,18
510,slowly,18
511,while,18
512,says,18
513,painting,18
514,idea,18
515,horribly,18
516,entirely,18
517,themselves,18
518,wrong,18
519,fact,18
520,doing,18
521,marriage,18
522,started,18
523,ago,18
524,open,18
525,studio,18
526,use,18
527,mouth,17
528,impossible,17
